step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,supply_adjusted,5.335,0.41500000000000004,0.515,0.785234899328859,0.5,0.3725,5.4670000000000005,0.32,0.0,0.01395,0.6284902544988268,0.235,0.225,0.32,0.22
1,supply_adjusted,6.065,0.33999999999999997,0.535,0.6984126984126984,0.38,0.45047619047619036,5.586600000000001,0.57,0.0,0.012800000000000002,0.5291502622129182,0.215,0.24,0.325,0.22
2,supply_adjusted,6.03,0.345,0.52,0.6390243902439025,0.43,0.41944444444444434,5.67528,0.74,2.0,0.0146,0.6782329983125268,0.265,0.245,0.265,0.225
3,supply_adjusted,5.81,0.355,0.64,0.6201923076923077,0.42,0.5285,5.702224000000001,0.79,15.0,0.01475,0.689202437604511,0.205,0.28,0.24,0.275
4,supply_adjusted,6.185,0.31999999999999995,0.615,0.5964912280701754,0.33,0.5199999999999999,5.798779200000001,0.92,11.0,0.01575,0.758287544405155,0.195,0.24,0.32,0.245
5,supply_adjusted,6.01,0.33999999999999997,0.59,0.6,0.34,0.68,5.84102336,0.88,16.0,0.0158,0.7615773105863908,0.23,0.24,0.275,0.255
6,supply_adjusted,5.865,0.35,0.635,0.6467661691542289,0.39,0.5356,5.8458186880000005,0.71,25.0,0.0155,0.7416198487095663,0.2,0.24,0.225,0.335
7,supply_adjusted,6.41,0.29500000000000004,0.64,0.6409090909090909,0.33,0.5642857142857143,5.958654950400001,0.79,16.0,0.015250000000000001,0.724568837309472,0.265,0.24,0.25,0.245
8,supply_adjusted,6.155,0.32499999999999996,0.595,0.625,0.37,0.506315789473684,5.9979239603200005,0.81,9.0,0.014899999999999997,0.7,0.255,0.255,0.225,0.265
9,supply_adjusted,5.775,0.36,0.625,0.5953488372093023,0.37,0.484,5.953339168256001,0.87,19.0,0.015200000000000002,0.7211102550927979,0.285,0.25,0.22,0.245
10,supply_adjusted,5.995,0.33999999999999997,0.605,0.5972850678733032,0.39,0.4057894736842105,5.961671334604801,0.89,16.0,0.013950000000000002,0.6284902544988268,0.255,0.215,0.265,0.265
11,supply_adjusted,5.975,0.345,0.575,0.6787564766839378,0.4,0.5121428571428571,5.964337067683841,0.62,20.0,0.014349999999999998,0.6595452979136459,0.24,0.235,0.295,0.23
12,supply_adjusted,5.99,0.33499999999999996,0.66,0.6100917431192661,0.4,0.4405555555555555,5.9694696541470735,0.85,19.0,0.015200000000000002,0.7211102550927979,0.23,0.285,0.25,0.235
13,supply_adjusted,6.375,0.29500000000000004,0.675,0.5708502024291497,0.31,0.6242307692307691,6.0505757233176585,1.06,14.0,0.014300000000000002,0.6557438524302001,0.25,0.245,0.245,0.26
14,supply_adjusted,6.47,0.29500000000000004,0.58,0.5949367088607594,0.36,0.4136842105263158,6.134460578654127,0.96,18.0,0.01485,0.6964194138592059,0.265,0.24,0.225,0.27
15,supply_adjusted,6.445,0.29500000000000004,0.605,0.6351351351351351,0.35,0.5427777777777778,6.196568462923302,0.81,29.0,0.013800000000000002,0.6164414002968976,0.235,0.21,0.315,0.24
