step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,supply_adjusted,5.85,0.365,0.5,0.7791411042944786,0.51,0.4075,5.570000000000001,0.36,0.0,0.0139,0.6244997998398398,0.28,0.23,0.27,0.22
1,supply_adjusted,6.335,0.30500000000000005,0.615,0.6984924623115578,0.43,0.44823529411764695,5.723000000000001,0.6,0.0,0.014249999999999997,0.6519202405202649,0.255,0.245,0.26,0.24
2,supply_adjusted,5.93,0.35,0.57,0.6951871657754011,0.41,0.5127777777777778,5.7644,0.57,9.0,0.014500000000000002,0.6708203932499369,0.2,0.24,0.31,0.25
3,supply_adjusted,5.765,0.355,0.685,0.6898395721925134,0.41,0.49086956521739117,5.764520000000001,0.58,12.0,0.014600000000000002,0.6782329983125268,0.205,0.31,0.29,0.195
4,supply_adjusted,5.765,0.36,0.635,0.6274509803921569,0.42,0.5311111111111111,5.764616,0.76,6.0,0.014200000000000003,0.648074069840786,0.2,0.265,0.255,0.28
5,supply_adjusted,5.925,0.35,0.575,0.6403940886699507,0.39,0.47875,5.796692800000001,0.73,19.0,0.015050000000000001,0.7106335201775947,0.24,0.23,0.275,0.255
6,supply_adjusted,6.02,0.33999999999999997,0.58,0.6226415094339622,0.4,0.5704166666666667,5.84135424,0.8,18.0,0.0147,0.6855654600401044,0.215,0.25,0.28,0.255
7,supply_adjusted,5.75,0.365,0.6,0.596244131455399,0.41,0.4000000000000001,5.823083392000001,0.86,14.0,0.013550000000000003,0.5958187643906492,0.205,0.24,0.295,0.26
8,supply_adjusted,5.62,0.37,0.68,0.586046511627907,0.42,0.5635294117647058,5.782466713600001,0.89,14.0,0.013750000000000002,0.6123724356957945,0.225,0.26,0.245,0.27
9,supply_adjusted,5.69,0.365,0.66,0.5720720720720721,0.36,0.5982608695652174,5.7639733708800005,0.95,21.0,0.015250000000000001,0.724568837309472,0.2,0.305,0.255,0.24
10,supply_adjusted,5.625,0.38,0.575,0.6231155778894473,0.45,0.4414285714285714,5.736178696704001,0.75,24.0,0.015,0.7071067811865476,0.245,0.22,0.275,0.26
11,supply_adjusted,4.955,0.43500000000000005,0.695,0.6075268817204301,0.46,0.5730434782608695,5.5799429573632,0.73,21.0,0.01475,0.689202437604511,0.21,0.25,0.25,0.29
12,supply_adjusted,5.525,0.385,0.625,0.5720930232558139,0.4,0.5186666666666666,5.568954365890561,0.92,21.0,0.015600000000000001,0.7483314773547883,0.145,0.285,0.285,0.285
13,supply_adjusted,6.39,0.30000000000000004,0.61,0.6167400881057269,0.39,0.5096296296296297,5.733163492712449,0.87,14.0,0.013250000000000001,0.570087712549569,0.195,0.245,0.265,0.295
14,supply_adjusted,7.215,0.21999999999999997,0.585,0.6842105263157895,0.3,0.5266666666666666,6.02953079416996,0.72,21.0,0.013850000000000003,0.6204836822995429,0.235,0.275,0.215,0.275
15,supply_adjusted,5.805,0.355,0.645,0.6262135922330098,0.42,0.4765,5.984624635335967,0.77,13.0,0.015349999999999999,0.7314369419163897,0.195,0.31,0.22,0.275
16,supply_adjusted,5.975,0.33999999999999997,0.625,0.6055045871559633,0.37,0.4427272727272726,5.982699708268774,0.86,15.0,0.016050000000000002,0.7778174593052023,0.19,0.26,0.295,0.255
17,supply_adjusted,6.025,0.33499999999999996,0.625,0.6073059360730594,0.38,0.6231818181818182,5.991159766615019,0.86,19.0,0.0148,0.6928203230275509,0.235,0.295,0.225,0.245
18,supply_adjusted,5.865,0.355,0.585,0.645,0.39,0.515,5.965927813292017,0.71,19.0,0.015550000000000003,0.744983221287567,0.23,0.24,0.255,0.275
19,supply_adjusted,6.17,0.31999999999999995,0.63,0.6507177033492823,0.35,0.48200000000000004,6.006742250633613,0.73,17.0,0.015200000000000002,0.7211102550927979,0.22,0.24,0.275,0.265
20,supply_adjusted,6.27,0.31000000000000005,0.63,0.6634615384615384,0.34,0.5509523809523809,6.05939380050689,0.7,14.0,0.014400000000000003,0.6633249580710799,0.185,0.225,0.33,0.26
21,supply_adjusted,5.275,0.41500000000000004,0.575,0.6464088397790055,0.43,0.4706666666666666,5.902515040405513,0.64,14.0,0.015050000000000003,0.7106335201775947,0.23,0.225,0.34,0.205
22,supply_adjusted,6.28,0.31000000000000005,0.62,0.6359447004608295,0.39,0.4680952380952381,5.978012032324411,0.79,13.0,0.0142,0.648074069840786,0.225,0.235,0.31,0.23
23,supply_adjusted,6.155,0.32499999999999996,0.595,0.6136363636363636,0.34,0.5110526315789473,6.013409625859529,0.85,10.0,0.01465,0.6819090848492928,0.24,0.215,0.295,0.25
24,supply_adjusted,6.235,0.31499999999999995,0.615,0.5956521739130435,0.36,0.49899999999999983,6.0577277006876225,0.93,23.0,0.015449999999999998,0.73824115301167,0.195,0.235,0.32,0.25
25,supply_adjusted,6.285,0.30500000000000005,0.665,0.6043478260869565,0.39,0.49249999999999994,6.103182160550099,0.91,18.0,0.015449999999999998,0.73824115301167,0.18,0.245,0.285,0.29
26,supply_adjusted,6.12,0.32499999999999996,0.63,0.6428571428571429,0.35,0.5852173913043478,6.1065457284400795,0.75,17.0,0.014100000000000001,0.6403124237432849,0.18,0.305,0.25,0.265
27,supply_adjusted,5.985,0.33499999999999996,0.665,0.6214953271028038,0.4,0.5758823529411764,6.0822365827520635,0.81,26.0,0.014550000000000002,0.6745368781616021,0.215,0.22,0.25,0.315
28,supply_adjusted,6.425,0.29500000000000004,0.625,0.6266666666666667,0.32,0.39,6.1507892662016515,0.84,11.0,0.014850000000000002,0.6964194138592059,0.18,0.28,0.29,0.25
29,supply_adjusted,6.285,0.31000000000000005,0.615,0.5726141078838174,0.34,0.4847619047619047,6.177631412961321,1.03,20.0,0.015,0.7071067811865476,0.175,0.32,0.26,0.245
30,supply_adjusted,6.515,0.29000000000000004,0.585,0.6094420600858369,0.31,0.5623809523809523,6.245105130369057,0.91,18.0,0.015050000000000001,0.7106335201775947,0.225,0.26,0.265,0.25
31,supply_adjusted,5.79,0.355,0.66,0.6581632653061225,0.41,0.5352380952380951,6.154084104295245,0.67,23.0,0.01475,0.689202437604511,0.195,0.33,0.195,0.28
32,supply_adjusted,6.315,0.30500000000000005,0.635,0.6233183856502242,0.34,0.4723809523809523,6.186267283436197,0.84,13.0,0.014699999999999998,0.6855654600401044,0.21,0.235,0.275,0.28
33,supply_adjusted,6.355,0.30000000000000004,0.645,0.6167400881057269,0.35,0.5368181818181817,6.220013826748958,0.87,11.0,0.01385,0.6204836822995429,0.205,0.255,0.255,0.285
34,supply_adjusted,5.98,0.345,0.57,0.6298076923076923,0.38,0.469375,6.172011061399166,0.77,22.0,0.0141,0.6403124237432849,0.225,0.225,0.285,0.265
35,supply_adjusted,6.67,0.27,0.63,0.6403508771929824,0.32,0.544090909090909,6.271608849119333,0.82,18.0,0.0143,0.6557438524302001,0.16,0.285,0.235,0.32
36,supply_adjusted,5.82,0.36,0.58,0.5981308411214953,0.44,0.5042105263157894,6.181287079295466,0.86,12.0,0.01455,0.6745368781616021,0.22,0.25,0.275,0.255
37,supply_adjusted,5.51,0.385,0.64,0.5857142857142857,0.4,0.4668965517241379,6.047029663436374,0.87,20.0,0.014849999999999999,0.6964194138592059,0.23,0.215,0.3,0.255
38,supply_adjusted,5.85,0.355,0.6,0.5682819383259912,0.33,0.370625,6.0076237307491,0.98,19.0,0.01465,0.6819090848492928,0.265,0.23,0.22,0.285
39,supply_adjusted,6.77,0.255,0.68,0.6478260869565218,0.28,0.5619047619047619,6.16009898459928,0.81,18.0,0.01415,0.6442049363362563,0.19,0.29,0.285,0.235
40,supply_adjusted,5.805,0.355,0.645,0.6417910447761194,0.37,0.4426315789473685,6.089079187679424,0.72,20.0,0.014549999999999999,0.6745368781616021,0.2,0.245,0.285,0.27
41,supply_adjusted,6.145,0.31999999999999995,0.655,0.6476190476190476,0.36,0.4841666666666667,6.100263350143539,0.74,14.0,0.013550000000000001,0.5958187643906492,0.195,0.28,0.225,0.3
42,supply_adjusted,5.3,0.405,0.65,0.616580310880829,0.44,0.4419047619047619,5.9402106801148316,0.74,16.0,0.015299999999999998,0.7280109889280518,0.235,0.25,0.24,0.275
43,supply_adjusted,5.955,0.33999999999999997,0.645,0.6197183098591549,0.39,0.5121052631578947,5.943168544091866,0.81,21.0,0.01615,0.7842193570679061,0.255,0.25,0.26,0.235
44,supply_adjusted,6.24,0.31499999999999995,0.61,0.631336405529954,0.39,0.6525,6.002534835273493,0.8,13.0,0.015349999999999997,0.7314369419163897,0.255,0.245,0.235,0.265
45,supply_adjusted,5.86,0.35,0.64,0.5909090909090909,0.39,0.5372727272727272,5.974027868218793,0.9,22.0,0.0164,0.8,0.23,0.235,0.245,0.29
46,supply_adjusted,5.5,0.39,0.6,0.5446428571428571,0.43,0.46840000000000004,5.879222294575035,1.02,13.0,0.01405,0.6363961030678927,0.19,0.275,0.24,0.295
47,supply_adjusted,6.0,0.33499999999999996,0.65,0.6333333333333333,0.41,0.5,5.903377835660029,0.77,32.0,0.01535,0.7314369419163897,0.215,0.255,0.265,0.265
48,supply_adjusted,5.33,0.405,0.62,0.6197916666666666,0.43,0.5791304347826087,5.788702268528024,0.73,25.0,0.0156,0.7483314773547883,0.215,0.25,0.26,0.275
49,supply_adjusted,5.905,0.345,0.645,0.6582914572864321,0.38,0.49105263157894735,5.811961814822419,0.68,8.0,0.01525,0.724568837309472,0.215,0.23,0.275,0.28
50,supply_adjusted,5.925,0.33999999999999997,0.675,0.6376811594202898,0.39,0.6105263157894737,5.834569451857935,0.75,14.0,0.014900000000000002,0.7,0.205,0.28,0.225,0.29
51,supply_adjusted,5.87,0.355,0.58,0.6515151515151515,0.35,0.49473684210526314,5.8416555614863475,0.69,19.0,0.014499999999999999,0.6708203932499369,0.235,0.205,0.26,0.3
52,supply_adjusted,5.735,0.365,0.615,0.6018957345971564,0.38,0.5299999999999998,5.820324449189079,0.84,13.0,0.01565,0.7516648189186453,0.24,0.235,0.26,0.265
53,supply_adjusted,5.97,0.33999999999999997,0.63,0.5523012552301255,0.33,0.6439999999999998,5.850259559351263,1.07,16.0,0.0153,0.7280109889280518,0.235,0.22,0.305,0.24
54,supply_adjusted,6.37,0.30000000000000004,0.63,0.5785123966942148,0.32,0.544090909090909,5.95420764748101,1.02,20.0,0.014850000000000002,0.6964194138592059,0.24,0.2,0.305,0.255
55,supply_adjusted,5.83,0.355,0.62,0.602803738317757,0.39,0.5480952380952381,5.929366117984809,0.85,25.0,0.014049999999999998,0.6363961030678927,0.215,0.235,0.29,0.26
56,supply_adjusted,5.425,0.4,0.575,0.5769230769230769,0.45,0.39684210526315783,5.828492894387848,0.88,23.0,0.014049999999999998,0.6363961030678927,0.225,0.23,0.275,0.27
57,supply_adjusted,6.465,0.29000000000000004,0.635,0.5772357723577236,0.29,0.37363636363636366,5.955794315510278,1.04,18.0,0.014049999999999998,0.6363961030678927,0.23,0.185,0.285,0.3
58,supply_adjusted,6.41,0.29500000000000004,0.64,0.6322869955156951,0.35,0.4482352941176471,6.046635452408222,0.82,20.0,0.014299999999999998,0.6557438524302001,0.18,0.28,0.25,0.29
59,supply_adjusted,5.745,0.365,0.605,0.6195121951219512,0.45,0.4973684210526316,5.986308361926579,0.78,17.0,0.014400000000000003,0.6633249580710799,0.24,0.24,0.27,0.25
60,supply_adjusted,5.94,0.345,0.61,0.6267942583732058,0.36,0.5236363636363637,5.977046689541263,0.78,12.0,0.014900000000000002,0.7,0.205,0.285,0.205,0.305
61,supply_adjusted,6.295,0.30500000000000005,0.655,0.6682692307692307,0.37,0.4336363636363636,6.040637351633011,0.69,16.0,0.015249999999999998,0.724568837309472,0.2,0.215,0.275,0.31
