step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,demand_only,5.435,0.41000000000000003,0.465,0.7919463087248322,0.53,0.24833333333333332,5.487,0.31,0.0,0.012849999999999997,0.22,0.27,0.215,0.295
1,demand_only,5.535,0.385,0.615,0.6949152542372882,0.46,0.365,5.496600000000001,0.54,0.0,0.014350000000000002,0.285,0.245,0.185,0.285
2,demand_only,5.88,0.355,0.57,0.6056338028169014,0.39,0.23285714285714276,5.573280000000002,0.84,4.0,0.014950000000000001,0.265,0.235,0.24,0.26
3,demand_only,6.05,0.33999999999999997,0.55,0.5866666666666667,0.39,0.255,5.668624000000001,0.93,12.0,0.014799999999999999,0.26,0.24,0.23,0.27
4,demand_only,6.01,0.33999999999999997,0.59,0.6111111111111112,0.36,0.306,5.7368992,0.84,30.0,0.015099999999999999,0.245,0.24,0.255,0.26
5,demand_only,5.46,0.395,0.59,0.5931372549019608,0.42,0.28,5.681519359999999,0.83,20.0,0.0151,0.265,0.265,0.2,0.27
6,demand_only,6.075,0.33499999999999996,0.575,0.6519607843137255,0.42,0.296,5.760215488000001,0.71,27.0,0.015,0.245,0.215,0.25,0.29
7,demand_only,5.75,0.365,0.6,0.654639175257732,0.45,0.365,5.758172390400001,0.67,23.0,0.015200000000000005,0.25,0.265,0.25,0.235
8,demand_only,5.65,0.38,0.55,0.6888888888888889,0.42,0.254,5.73653791232,0.56,14.0,0.014250000000000002,0.29,0.26,0.23,0.22
9,demand_only,4.835,0.45999999999999996,0.565,0.631578947368421,0.49,0.32,5.556230329856001,0.63,13.0,0.0142,0.27,0.21,0.27,0.25
10,demand_only,6.145,0.32999999999999996,0.555,0.6666666666666666,0.38,0.2533333333333333,5.673984263884801,0.67,14.0,0.014,0.22,0.275,0.24,0.265
11,demand_only,6.14,0.32499999999999996,0.61,0.625,0.36,0.32799999999999996,5.767187411107841,0.81,15.0,0.014850000000000002,0.225,0.265,0.24,0.27
12,demand_only,6.485,0.29500000000000004,0.565,0.6,0.35,0.336,5.910749928886273,0.94,14.0,0.015199999999999998,0.28,0.235,0.23,0.255
13,demand_only,6.68,0.27,0.62,0.6134453781512605,0.3,0.326,6.064599943109019,0.92,19.0,0.015750000000000004,0.245,0.26,0.265,0.23
14,demand_only,6.185,0.32999999999999996,0.515,0.5877192982456141,0.39,0.2342857142857142,6.088679954487215,0.94,28.0,0.014700000000000001,0.265,0.245,0.255,0.235
15,demand_only,6.385,0.30500000000000005,0.565,0.5767634854771784,0.38,0.32400000000000007,6.147943963589772,1.02,15.0,0.01405,0.245,0.26,0.235,0.26
16,demand_only,6.85,0.26,0.55,0.6324786324786325,0.34,0.395,6.288355170871819,0.86,26.0,0.01405,0.26,0.17,0.275,0.295
17,demand_only,5.96,0.35,0.54,0.6598984771573604,0.4,0.18857142857142853,6.222684136697455,0.67,21.0,0.014850000000000002,0.275,0.215,0.275,0.235
18,demand_only,5.705,0.375,0.545,0.6157635467980296,0.42,0.21714285714285708,6.119147309357963,0.78,16.0,0.01455,0.235,0.225,0.245,0.295
19,demand_only,6.06,0.33999999999999997,0.54,0.6055045871559633,0.39,0.31199999999999994,6.107317847486371,0.86,16.0,0.0143,0.275,0.2,0.29,0.235
20,demand_only,6.225,0.32499999999999996,0.525,0.6192660550458715,0.37,0.308,6.130854277989098,0.83,22.0,0.01415,0.265,0.225,0.255,0.255
21,demand_only,6.095,0.33499999999999996,0.555,0.6303317535545023,0.37,0.24833333333333335,6.123683422391278,0.78,21.0,0.01415,0.245,0.26,0.24,0.255
