step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,supply_adjusted,4.855,0.46499999999999997,0.495,0.7133333333333334,0.52,0.30000000000000004,5.371,0.43,0.0,0.014349999999999998,0.6595452979136459,0.255,0.285,0.24,0.22
1,supply_adjusted,6.075,0.33999999999999997,0.525,0.6875,0.39,0.494,5.511800000000001,0.6,0.0,0.014399999999999998,0.6633249580710799,0.265,0.255,0.235,0.245
2,supply_adjusted,5.845,0.36,0.555,0.649746192893401,0.41,0.3710000000000001,5.5784400000000005,0.69,8.0,0.014050000000000002,0.6363961030678927,0.255,0.235,0.245,0.265
3,supply_adjusted,5.315,0.405,0.635,0.6102564102564103,0.46,0.4414285714285714,5.525752,0.76,6.0,0.0154,0.7348469228349535,0.295,0.245,0.245,0.215
4,supply_adjusted,6.67,0.265,0.68,0.7033492822966507,0.35,0.5908695652173912,5.754601600000001,0.62,17.0,0.015399999999999999,0.7348469228349535,0.25,0.215,0.22,0.315
5,supply_adjusted,6.43,0.29000000000000004,0.67,0.6926829268292682,0.34,0.5658823529411765,5.88968128,0.63,14.0,0.01415,0.6442049363362563,0.26,0.295,0.185,0.26
6,supply_adjusted,6.03,0.33499999999999996,0.62,0.6785714285714286,0.4,0.43352941176470594,5.917745024000001,0.63,8.0,0.015399999999999999,0.7348469228349535,0.24,0.295,0.25,0.215
7,supply_adjusted,5.25,0.41500000000000004,0.6,0.6256684491978609,0.43,0.5630000000000001,5.784196019200001,0.7,15.0,0.014549999999999999,0.6745368781616021,0.28,0.21,0.305,0.205
8,supply_adjusted,6.465,0.29000000000000004,0.635,0.6283185840707964,0.33,0.49699999999999994,5.920356815360001,0.84,12.0,0.013600000000000001,0.6,0.225,0.27,0.23,0.275
9,supply_adjusted,6.5,0.29000000000000004,0.6,0.6068376068376068,0.31,0.4965,6.036285452288001,0.92,9.0,0.013949999999999997,0.6284902544988268,0.24,0.24,0.25,0.27
10,supply_adjusted,6.17,0.32499999999999996,0.58,0.5720338983050848,0.33,0.36045454545454547,6.063028361830401,1.01,13.0,0.01475,0.689202437604511,0.3,0.26,0.175,0.265
11,supply_adjusted,5.6,0.375,0.65,0.6067961165048543,0.4,0.5505882352941176,5.97042268946432,0.81,25.0,0.014349999999999998,0.6595452979136459,0.245,0.27,0.21,0.275
12,supply_adjusted,5.85,0.35,0.65,0.6046511627906976,0.39,0.5322727272727272,5.946338151571456,0.85,22.0,0.015050000000000001,0.7106335201775947,0.265,0.23,0.24,0.265
13,supply_adjusted,6.275,0.31000000000000005,0.625,0.6540284360189573,0.35,0.6047368421052631,6.012070521257166,0.73,12.0,0.01445,0.6670832032063166,0.24,0.27,0.21,0.28
14,supply_adjusted,5.675,0.375,0.575,0.6684491978609626,0.42,0.5915789473684211,5.944656417005733,0.62,23.0,0.0157,0.7549834435270749,0.26,0.245,0.26,0.235
15,supply_adjusted,5.56,0.38,0.64,0.6391752577319587,0.42,0.49347826086956526,5.867725133604587,0.7,9.0,0.01585,0.7648529270389177,0.22,0.25,0.23,0.3
16,supply_adjusted,5.49,0.395,0.56,0.5353982300884956,0.37,0.4425925925925926,5.792180106883669,1.05,13.0,0.015050000000000001,0.7106335201775947,0.25,0.21,0.31,0.23
17,supply_adjusted,6.995,0.245,0.555,0.5335689045936396,0.29,0.5275,6.032744085506936,1.32,16.0,0.013999999999999999,0.6324555320336759,0.28,0.235,0.255,0.23
18,supply_adjusted,6.57,0.28,0.63,0.5783132530120482,0.32,0.5704761904761905,6.140195268405548,1.05,32.0,0.014049999999999998,0.6363961030678927,0.265,0.23,0.235,0.27
19,supply_adjusted,6.285,0.31000000000000005,0.615,0.5948275862068966,0.32,0.5409090909090909,6.169156214724439,0.94,31.0,0.014950000000000001,0.7035623639735145,0.22,0.235,0.285,0.26
20,supply_adjusted,6.135,0.32499999999999996,0.615,0.6136363636363636,0.39,0.5078947368421052,6.162324971779552,0.85,19.0,0.0148,0.6928203230275509,0.27,0.24,0.195,0.295
21,supply_adjusted,6.47,0.29500000000000004,0.58,0.6211453744493393,0.33,0.6047826086956523,6.2238599774236425,0.86,22.0,0.0146,0.6782329983125268,0.255,0.28,0.24,0.225
22,supply_adjusted,6.03,0.33499999999999996,0.62,0.6333333333333333,0.38,0.4994736842105263,6.1850879819389135,0.77,15.0,0.015300000000000001,0.7280109889280518,0.24,0.255,0.28,0.225
23,supply_adjusted,5.445,0.395,0.605,0.6335078534031413,0.42,0.5116666666666666,6.0370703855511305,0.7,16.0,0.015250000000000003,0.724568837309472,0.235,0.25,0.285,0.23
24,supply_adjusted,5.975,0.35,0.525,0.6161137440758294,0.35,0.44090909090909086,6.024656308440906,0.81,18.0,0.01395,0.6284902544988268,0.3,0.23,0.26,0.21
25,supply_adjusted,6.07,0.33499999999999996,0.58,0.6018099547511312,0.34,0.4243478260869565,6.033725046752725,0.88,15.0,0.01455,0.6745368781616021,0.28,0.255,0.27,0.195
26,supply_adjusted,6.225,0.32499999999999996,0.525,0.6136363636363636,0.41,0.4614285714285713,6.071980037402179,0.85,17.0,0.014849999999999999,0.6964194138592059,0.245,0.265,0.27,0.22
27,supply_adjusted,5.565,0.39,0.535,0.6387434554973822,0.41,0.5411764705882353,5.970584029921744,0.69,23.0,0.01465,0.6819090848492928,0.265,0.22,0.265,0.25
28,supply_adjusted,5.965,0.345,0.585,0.6683673469387755,0.34,0.4700000000000001,5.969467223937395,0.65,17.0,0.015900000000000004,0.7681145747868608,0.245,0.28,0.235,0.24
29,supply_adjusted,6.4,0.30000000000000004,0.6,0.7,0.35,0.49947368421052624,6.055573779149917,0.6,14.0,0.014950000000000001,0.7035623639735145,0.285,0.23,0.275,0.21
30,supply_adjusted,5.765,0.36,0.635,0.6336633663366337,0.45,0.39625,5.9974590233199345,0.74,7.0,0.01505,0.7106335201775947,0.26,0.26,0.27,0.21
31,supply_adjusted,5.82,0.365,0.53,0.6580310880829016,0.44,0.58125,5.961967218655946,0.66,18.0,0.014200000000000004,0.648074069840786,0.285,0.21,0.3,0.205
32,supply_adjusted,6.035,0.33999999999999997,0.565,0.6666666666666666,0.4,0.5,5.976573774924759,0.66,20.0,0.01525,0.724568837309472,0.24,0.22,0.32,0.22
33,supply_adjusted,6.285,0.31000000000000005,0.615,0.6330275229357798,0.39,0.6581481481481483,6.038259019939805,0.8,7.0,0.01395,0.6284902544988268,0.22,0.265,0.275,0.24
34,supply_adjusted,6.02,0.33499999999999996,0.63,0.6717171717171717,0.39,0.4873333333333333,6.034607215951846,0.65,15.0,0.014200000000000003,0.648074069840786,0.25,0.18,0.26,0.31
