step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,baseline,5.385,0.41500000000000004,0.465,0.7222222222222222,0.48,0.0,5.477,0.45,0.0,0.013649999999999999,0.6041522986797286,0.275,0.22,0.23,0.275
1,baseline,4.96,0.44999999999999996,0.54,0.5851063829787234,0.48,0.0,5.3736000000000015,0.78,0.0,0.013900000000000003,0.6244997998398398,0.26,0.26,0.225,0.255
2,baseline,6.15,0.33499999999999996,0.5,0.5564853556485355,0.37,0.0,5.528880000000002,1.06,19.0,0.013049999999999999,0.552268050859363,0.235,0.26,0.26,0.245
3,baseline,5.66,0.38,0.54,0.4979919678714859,0.41,0.0,5.555104000000001,1.25,19.0,0.0138,0.6164414002968976,0.265,0.265,0.23,0.24
4,baseline,6.115,0.33999999999999997,0.485,0.5617021276595745,0.35,0.0,5.6670831999999995,1.03,33.0,0.013800000000000002,0.6164414002968976,0.335,0.215,0.24,0.21
5,baseline,6.04,0.345,0.51,0.6328502415458938,0.4,0.0,5.741666560000001,0.76,36.0,0.013600000000000001,0.6,0.32,0.2,0.225,0.255
6,baseline,6.285,0.31499999999999995,0.565,0.6199095022624435,0.35,0.0,5.850333248000001,0.84,13.0,0.013550000000000003,0.5958187643906492,0.22,0.22,0.28,0.28
7,baseline,5.815,0.365,0.535,0.6018957345971564,0.43,0.0,5.8432665984000005,0.84,15.0,0.01355,0.5958187643906492,0.31,0.275,0.23,0.185
8,baseline,6.2,0.32999999999999996,0.5,0.6090909090909091,0.36,0.0,5.914613278720001,0.86,19.0,0.013900000000000001,0.6244997998398398,0.32,0.185,0.255,0.24
9,baseline,5.855,0.365,0.495,0.596244131455399,0.37,0.0,5.902690622976,0.86,17.0,0.0148,0.6928203230275509,0.27,0.235,0.215,0.28
10,baseline,6.315,0.31999999999999995,0.485,0.5938864628820961,0.38,0.0,5.985152498380801,0.93,20.0,0.013900000000000003,0.6244997998398398,0.32,0.18,0.275,0.225
11,baseline,6.105,0.33999999999999997,0.495,0.6111111111111112,0.38,0.0,6.00912199870464,0.84,23.0,0.0134,0.5830951894845301,0.275,0.215,0.295,0.215
12,baseline,5.94,0.35,0.56,0.5909090909090909,0.38,0.0,5.995297598963713,0.9,14.0,0.014199999999999997,0.648074069840786,0.25,0.22,0.295,0.235
13,baseline,5.69,0.375,0.56,0.6377551020408163,0.4,0.0,5.934238079170971,0.71,22.0,0.0141,0.6403124237432849,0.295,0.22,0.245,0.24
14,baseline,5.095,0.43500000000000005,0.555,0.6348314606741573,0.48,0.0,5.766390463336777,0.65,17.0,0.014199999999999997,0.648074069840786,0.295,0.21,0.275,0.22
15,baseline,5.04,0.43999999999999995,0.56,0.5989304812834224,0.41,0.0,5.621112370669421,0.75,16.0,0.015250000000000003,0.724568837309472,0.315,0.225,0.28,0.18
16,baseline,5.985,0.35,0.515,0.5803571428571429,0.35,0.0,5.693889896535539,0.94,15.0,0.013800000000000003,0.6164414002968976,0.275,0.19,0.3,0.235
17,baseline,5.655,0.38,0.545,0.5662100456621004,0.42,0.0,5.6861119172284305,0.95,18.0,0.0146,0.6782329983125268,0.25,0.21,0.275,0.265
18,baseline,6.08,0.33499999999999996,0.57,0.6214953271028038,0.35,0.0,5.7648895337827435,0.81,26.0,0.0136,0.6,0.335,0.195,0.28,0.19
19,baseline,6.38,0.31499999999999995,0.47,0.6116071428571429,0.39,0.0,5.887911627026196,0.87,14.0,0.0137,0.6082762530298219,0.31,0.22,0.24,0.23
20,baseline,6.505,0.30000000000000004,0.495,0.639269406392694,0.33,0.0,6.0113293016209575,0.79,20.0,0.013749999999999998,0.6123724356957945,0.33,0.215,0.26,0.195
21,baseline,5.89,0.355,0.56,0.6084905660377359,0.36,0.0,5.987063441296766,0.83,14.0,0.014050000000000003,0.6363961030678927,0.275,0.205,0.265,0.255
22,baseline,5.79,0.37,0.51,0.6237623762376238,0.42,0.0,5.947650753037412,0.76,17.0,0.01355,0.5958187643906492,0.3,0.22,0.28,0.2
23,baseline,5.51,0.4,0.49,0.6349206349206349,0.39,0.0,5.86012060242993,0.69,17.0,0.0143,0.6557438524302001,0.285,0.165,0.275,0.275
24,baseline,4.97,0.44999999999999996,0.53,0.5882352941176471,0.47,0.0,5.682096481943945,0.77,15.0,0.014750000000000001,0.689202437604511,0.28,0.21,0.23,0.28
25,baseline,6.185,0.32999999999999996,0.515,0.5447154471544715,0.37,0.0,5.782677185555156,1.12,15.0,0.01395,0.6284902544988268,0.34,0.205,0.235,0.22
26,baseline,5.33,0.42000000000000004,0.47,0.4978540772532189,0.41,0.0,5.692141748444125,1.17,23.0,0.014699999999999998,0.6855654600401044,0.28,0.23,0.285,0.205
27,baseline,5.51,0.395,0.54,0.5401785714285714,0.43,0.0,5.655713398755299,1.03,36.0,0.0148,0.6928203230275509,0.305,0.215,0.225,0.255
28,baseline,6.495,0.29500000000000004,0.555,0.5899581589958159,0.31,0.0,5.82357071900424,0.98,27.0,0.013649999999999997,0.6041522986797286,0.335,0.175,0.265,0.225
29,baseline,5.985,0.35,0.515,0.5241935483870968,0.34,0.0,5.855856575203393,1.18,19.0,0.01515,0.7176350047203662,0.29,0.235,0.28,0.195
30,baseline,5.725,0.375,0.525,0.5319148936170213,0.38,0.0,5.829685260162714,1.1,27.0,0.014599999999999998,0.6782329983125268,0.29,0.245,0.245,0.22
31,baseline,5.115,0.43500000000000005,0.535,0.5280373831775701,0.44,0.0,5.686748208130171,1.01,39.0,0.0136,0.6,0.315,0.23,0.2,0.255
32,baseline,6.03,0.345,0.52,0.5796460176991151,0.38,0.0,5.755398566504137,0.95,22.0,0.014100000000000001,0.6403124237432849,0.315,0.14,0.29,0.255
