step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,supply_adjusted,4.705,0.48,0.495,0.65,0.56,0.2285714285714285,5.341,0.56,0.0,0.013399999999999999,0.5830951894845301,0.255,0.26,0.265,0.22
1,supply_adjusted,5.405,0.4,0.595,0.6703910614525139,0.47,0.39,5.3538000000000014,0.59,0.0,0.0133,0.5744562646538028,0.26,0.19,0.295,0.255
2,supply_adjusted,5.59,0.385,0.56,0.6542553191489362,0.45,0.4675000000000001,5.40104,0.65,18.0,0.014150000000000001,0.6442049363362563,0.22,0.26,0.245,0.275
3,supply_adjusted,6.245,0.31499999999999995,0.605,0.6682926829268293,0.34,0.5294444444444444,5.569832,0.68,8.0,0.013800000000000003,0.6164414002968976,0.265,0.23,0.245,0.26
4,supply_adjusted,5.94,0.345,0.61,0.7443181818181818,0.43,0.5299999999999999,5.643865600000002,0.45,17.0,0.01415,0.6442049363362563,0.265,0.225,0.25,0.26
5,supply_adjusted,6.01,0.33999999999999997,0.59,0.6947368421052632,0.38,0.42909090909090913,5.71709248,0.58,9.0,0.013750000000000002,0.6123724356957945,0.3,0.255,0.23,0.215
6,supply_adjusted,6.51,0.28500000000000003,0.64,0.6875,0.36,0.5926086956521739,5.875673984,0.65,5.0,0.015100000000000002,0.714142842854285,0.325,0.25,0.17,0.255
7,supply_adjusted,5.955,0.35,0.545,0.6770833333333334,0.39,0.4640000000000001,5.891539187200001,0.62,9.0,0.01445,0.6670832032063166,0.31,0.215,0.185,0.29
8,supply_adjusted,6.37,0.30500000000000005,0.58,0.6747572815533981,0.39,0.48149999999999993,5.987231349760001,0.67,13.0,0.013600000000000003,0.6,0.3,0.225,0.225,0.25
9,supply_adjusted,5.88,0.355,0.57,0.6417910447761194,0.4,0.4138888888888888,5.965785079808001,0.72,10.0,0.0136,0.6,0.275,0.195,0.26,0.27
10,supply_adjusted,5.855,0.35,0.645,0.6103286384976526,0.39,0.5084210526315789,5.9436280638464005,0.83,12.0,0.01435,0.6595452979136459,0.25,0.205,0.265,0.28
11,supply_adjusted,5.715,0.365,0.635,0.5906976744186047,0.38,0.46440000000000003,5.897902451077121,0.88,14.0,0.0154,0.7348469228349535,0.26,0.22,0.23,0.29
12,supply_adjusted,5.93,0.345,0.62,0.6009174311926605,0.36,0.585,5.904321960861697,0.87,22.0,0.014900000000000002,0.7,0.25,0.275,0.255,0.22
13,supply_adjusted,6.195,0.31499999999999995,0.655,0.6227272727272727,0.37,0.5372727272727272,5.962457568689357,0.83,29.0,0.015199999999999998,0.7211102550927979,0.255,0.22,0.245,0.28
14,supply_adjusted,6.885,0.25,0.615,0.646551724137931,0.33,0.4975,6.146966054951487,0.82,14.0,0.0143,0.6557438524302001,0.24,0.255,0.27,0.235
15,supply_adjusted,6.215,0.31499999999999995,0.635,0.6143497757847534,0.35,0.514736842105263,6.160572843961189,0.86,14.0,0.01365,0.6041522986797286,0.26,0.21,0.25,0.28
16,supply_adjusted,6.385,0.30000000000000004,0.615,0.6542056074766355,0.36,0.5784999999999999,6.205458275168951,0.74,15.0,0.013900000000000001,0.6244997998398398,0.24,0.265,0.25,0.245
17,supply_adjusted,6.315,0.31499999999999995,0.535,0.5930735930735931,0.37,0.30846153846153845,6.227366620135161,0.94,14.0,0.0138,0.6164414002968976,0.275,0.17,0.265,0.29
18,supply_adjusted,6.525,0.29000000000000004,0.575,0.5991561181434599,0.32,0.44111111111111123,6.286893296108129,0.95,14.0,0.014300000000000002,0.6557438524302001,0.28,0.225,0.25,0.245
19,supply_adjusted,6.16,0.32499999999999996,0.59,0.6081081081081081,0.35,0.4515384615384616,6.2615146368865044,0.87,25.0,0.013900000000000001,0.6244997998398398,0.25,0.19,0.26,0.3
20,supply_adjusted,5.83,0.355,0.62,0.6142857142857143,0.42,0.5236363636363636,6.175211709509203,0.81,19.0,0.013699999999999997,0.6082762530298219,0.24,0.205,0.275,0.28
