step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,baseline,4.985,0.45499999999999996,0.465,0.7730496453900709,0.48,0.0,5.397,0.32,0.0,0.014350000000000002,0.6595452979136459,0.275,0.23,0.285,0.21
1,baseline,4.98,0.45499999999999996,0.47,0.6337209302325582,0.48,0.0,5.313600000000001,0.63,0.0,0.0134,0.5830951894845301,0.225,0.215,0.295,0.265
2,baseline,6.265,0.32999999999999996,0.435,0.638095238095238,0.39,0.0,5.503880000000001,0.76,9.0,0.01355,0.5958187643906492,0.24,0.245,0.255,0.26
3,baseline,5.4,0.41000000000000003,0.5,0.59,0.42,0.0,5.483104000000001,0.82,16.0,0.012999999999999998,0.5477225575051661,0.21,0.235,0.29,0.265
4,baseline,5.965,0.345,0.585,0.6121495327102804,0.43,0.0,5.579483200000001,0.83,17.0,0.013850000000000001,0.6204836822995429,0.275,0.26,0.205,0.26
5,baseline,5.17,0.43500000000000005,0.48,0.5231481481481481,0.41,0.0,5.497586560000001,1.03,19.0,0.013599999999999998,0.6,0.275,0.185,0.265,0.275
6,baseline,6.285,0.31499999999999995,0.565,0.6008771929824561,0.38,0.0,5.655069248,0.91,25.0,0.014199999999999999,0.648074069840786,0.245,0.185,0.28,0.29
7,baseline,5.63,0.385,0.52,0.5515695067264574,0.39,0.0,5.650055398400001,1.0,18.0,0.0149,0.7,0.22,0.215,0.28,0.285
8,baseline,5.805,0.365,0.545,0.6195121951219512,0.35,0.0,5.681044318720001,0.78,32.0,0.0144,0.6633249580710799,0.285,0.2,0.24,0.275
9,baseline,5.21,0.42000000000000004,0.59,0.6444444444444445,0.47,0.0,5.586835454976001,0.64,23.0,0.013649999999999997,0.6041522986797286,0.245,0.225,0.25,0.28
10,baseline,5.5,0.4,0.5,0.631578947368421,0.46,0.0,5.5694683639808,0.7,10.0,0.0134,0.5830951894845301,0.275,0.225,0.27,0.23
11,baseline,5.7,0.375,0.55,0.6613756613756614,0.43,0.0,5.59557469118464,0.64,17.0,0.01395,0.6284902544988268,0.33,0.195,0.265,0.21
12,baseline,5.8,0.365,0.55,0.6902173913043478,0.4,0.0,5.6364597529477125,0.57,15.0,0.014050000000000002,0.6363961030678927,0.265,0.215,0.28,0.24
13,baseline,5.615,0.39,0.485,0.6421052631578947,0.42,0.0,5.632167802358172,0.68,14.0,0.013100000000000002,0.5567764362830022,0.285,0.18,0.26,0.275
14,baseline,5.815,0.365,0.535,0.5746606334841629,0.41,0.0,5.668734241886536,0.94,10.0,0.014250000000000002,0.6519202405202649,0.255,0.225,0.25,0.27
15,baseline,5.515,0.4,0.485,0.6091370558375635,0.38,0.0,5.6379873935092295,0.77,22.0,0.01555,0.744983221287567,0.275,0.2,0.23,0.295
16,baseline,5.655,0.385,0.495,0.5694444444444444,0.37,0.0,5.641389914807384,0.93,20.0,0.01525,0.724568837309472,0.26,0.235,0.23,0.275
17,baseline,6.29,0.31999999999999995,0.51,0.5964912280701754,0.37,0.0,5.771111931845907,0.92,21.0,0.014699999999999998,0.6855654600401044,0.285,0.22,0.3,0.195
18,baseline,5.29,0.41500000000000004,0.56,0.536697247706422,0.38,0.0,5.674889545476726,1.01,22.0,0.014900000000000004,0.7,0.285,0.2,0.24,0.275
19,baseline,5.61,0.38,0.59,0.5794392523364486,0.39,0.0,5.66191163638138,0.9,27.0,0.01565,0.7516648189186453,0.265,0.19,0.28,0.265
20,baseline,5.645,0.38,0.555,0.5610859728506787,0.36,0.0,5.6585293091051065,0.97,22.0,0.01405,0.6363961030678927,0.25,0.195,0.29,0.265
21,baseline,6.075,0.33499999999999996,0.575,0.5807860262008734,0.36,0.0,5.741823447284084,0.96,18.0,0.014200000000000003,0.648074069840786,0.245,0.22,0.225,0.31
22,baseline,6.235,0.32999999999999996,0.465,0.6203703703703703,0.33,0.0,5.8404587578272675,0.82,23.0,0.013749999999999998,0.6123724356957945,0.28,0.2,0.275,0.245
23,baseline,5.65,0.385,0.5,0.6275510204081632,0.45,0.0,5.802367006261814,0.73,19.0,0.013949999999999999,0.6284902544988268,0.295,0.195,0.305,0.205
