step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,supply_adjusted,4.825,0.47,0.475,0.6751592356687898,0.48,0.26166666666666666,5.365,0.51,0.0,0.01435,0.6595452979136459,0.255,0.2,0.275,0.27
1,supply_adjusted,6.585,0.29000000000000004,0.515,0.6826923076923077,0.38,0.425,5.609000000000001,0.66,0.0,0.01315,0.5612486080160912,0.31,0.225,0.225,0.24
2,supply_adjusted,5.52,0.385,0.63,0.6373056994818653,0.46,0.4438095238095238,5.5912,0.7,12.0,0.014350000000000002,0.6595452979136459,0.255,0.265,0.215,0.265
3,supply_adjusted,5.02,0.43500000000000005,0.63,0.601063829787234,0.45,0.4361904761904762,5.476960000000002,0.75,10.0,0.014849999999999999,0.6964194138592059,0.185,0.265,0.26,0.29
4,supply_adjusted,6.165,0.32499999999999996,0.585,0.6308411214953271,0.38,0.3876,5.614568000000002,0.79,16.0,0.01385,0.6204836822995429,0.25,0.215,0.265,0.27
5,supply_adjusted,5.57,0.38,0.63,0.6262626262626263,0.45,0.58375,5.605654400000001,0.74,17.0,0.014100000000000003,0.6403124237432849,0.205,0.25,0.26,0.285
6,supply_adjusted,5.58,0.385,0.57,0.5857142857142857,0.4,0.43727272727272726,5.60052352,0.87,16.0,0.014400000000000001,0.6633249580710799,0.25,0.225,0.255,0.27
7,supply_adjusted,6.13,0.32499999999999996,0.62,0.569620253164557,0.37,0.4373913043478261,5.706418816000001,1.02,19.0,0.015500000000000002,0.7416198487095663,0.25,0.225,0.205,0.32
8,supply_adjusted,6.21,0.31499999999999995,0.64,0.6116071428571429,0.37,0.6523809523809523,5.807135052800001,0.87,24.0,0.014149999999999998,0.6442049363362563,0.225,0.22,0.25,0.305
9,supply_adjusted,5.88,0.345,0.67,0.645320197044335,0.4,0.47100000000000003,5.821708042240001,0.72,23.0,0.014700000000000003,0.6855654600401044,0.215,0.215,0.22,0.35
10,supply_adjusted,5.365,0.405,0.585,0.6296296296296297,0.43,0.461,5.730366433792001,0.7,16.0,0.015200000000000003,0.7211102550927979,0.195,0.225,0.27,0.31
11,supply_adjusted,6.165,0.31999999999999995,0.635,0.6666666666666666,0.39,0.6073684210526316,5.817293147033602,0.68,16.0,0.01385,0.6204836822995429,0.2,0.245,0.31,0.245
12,supply_adjusted,5.57,0.38,0.63,0.6424870466321243,0.4,0.46549999999999997,5.767834517626881,0.69,13.0,0.014700000000000001,0.6855654600401044,0.265,0.23,0.205,0.3
13,supply_adjusted,6.44,0.30000000000000004,0.56,0.5907172995780591,0.32,0.3774074074074074,5.902267614101505,0.97,14.0,0.016050000000000002,0.7778174593052023,0.205,0.215,0.255,0.325
14,supply_adjusted,6.025,0.33499999999999996,0.625,0.5990990990990991,0.36,0.6105263157894736,5.926814091281205,0.89,13.0,0.0143,0.6557438524302001,0.22,0.17,0.285,0.325
15,supply_adjusted,6.01,0.33999999999999997,0.59,0.6439024390243903,0.38,0.4509523809523809,5.943451273024964,0.73,26.0,0.014499999999999997,0.6708203932499369,0.225,0.265,0.23,0.28
16,supply_adjusted,6.68,0.27,0.62,0.6576576576576577,0.33,0.5466666666666667,6.090761018419971,0.76,13.0,0.014950000000000001,0.7035623639735145,0.25,0.25,0.255,0.245
17,supply_adjusted,6.265,0.31000000000000005,0.635,0.6188340807174888,0.38,0.575,6.125608814735976,0.85,10.0,0.0142,0.648074069840786,0.255,0.21,0.225,0.31
18,supply_adjusted,6.475,0.29000000000000004,0.625,0.6604651162790698,0.35,0.619090909090909,6.195487051788782,0.73,17.0,0.01455,0.6745368781616021,0.19,0.225,0.26,0.325
19,supply_adjusted,6.13,0.32999999999999996,0.57,0.6633663366336634,0.41,0.5222727272727272,6.182389641431025,0.68,18.0,0.0145,0.6708203932499369,0.25,0.165,0.235,0.35
20,supply_adjusted,5.91,0.345,0.64,0.6390243902439025,0.44,0.5259090909090909,6.127911713144822,0.74,15.0,0.015000000000000001,0.7071067811865476,0.225,0.19,0.255,0.33
21,supply_adjusted,5.8,0.365,0.55,0.675531914893617,0.39,0.5342105263157895,6.062329370515857,0.61,13.0,0.014800000000000002,0.6928203230275509,0.255,0.235,0.21,0.3
22,supply_adjusted,5.775,0.36,0.625,0.6956521739130435,0.43,0.48736842105263156,6.0048634964126855,0.56,19.0,0.01475,0.689202437604511,0.235,0.245,0.24,0.28
