step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
40,baseline,5.96,0.355,0.49,0.6262135922330098,0.41,0.0,6.038111405050966,0.77,23.0,0.0139,0.285,0.235,0.29,0.19
41,baseline,5.51,0.395,0.54,0.5902439024390244,0.4,0.0,5.932489124040772,0.84,27.0,0.01455,0.255,0.235,0.27,0.24
42,baseline,5.755,0.37,0.545,0.5943396226415094,0.39,0.0,5.896991299232618,0.86,16.0,0.014350000000000002,0.28,0.215,0.275,0.23
43,baseline,5.76,0.37,0.54,0.6086956521739131,0.43,0.0,5.869593039386095,0.81,29.0,0.014100000000000001,0.285,0.275,0.235,0.205
44,baseline,5.305,0.42000000000000004,0.495,0.5471698113207547,0.4,0.0,5.756674431508877,0.96,15.0,0.014850000000000002,0.32,0.195,0.315,0.17
45,baseline,5.545,0.395,0.505,0.5525114155251142,0.37,0.0,5.7143395452071015,0.98,30.0,0.0145,0.25,0.26,0.275,0.215
46,baseline,6.385,0.31000000000000005,0.515,0.6216216216216216,0.39,0.0,5.848471636165681,0.84,20.0,0.01345,0.265,0.27,0.305,0.16
47,baseline,6.23,0.31999999999999995,0.57,0.5938864628820961,0.35,0.0,5.924777308932545,0.93,19.0,0.013650000000000002,0.245,0.245,0.25,0.26
48,baseline,6.335,0.31499999999999995,0.515,0.6199095022624435,0.39,0.0,6.006821847146036,0.84,17.0,0.0132,0.24,0.245,0.255,0.26
49,baseline,6.215,0.32499999999999996,0.535,0.5555555555555556,0.33,0.0,6.048457477716829,1.08,18.0,0.015050000000000001,0.285,0.215,0.3,0.2
50,baseline,6.815,0.265,0.535,0.5951417004048583,0.34,0.0,6.2017659821734625,1.0,19.0,0.01315,0.245,0.26,0.3,0.195
51,baseline,5.895,0.36,0.505,0.5470085470085471,0.37,0.0,6.140412785738771,1.06,31.0,0.01425,0.25,0.195,0.335,0.22
52,baseline,6.385,0.31000000000000005,0.515,0.6079295154185022,0.36,0.0,6.189330228591017,0.89,22.0,0.013200000000000002,0.215,0.3,0.25,0.235
53,baseline,6.765,0.275,0.485,0.6277056277056277,0.28,0.0,6.304464182872814,0.86,25.0,0.013850000000000001,0.255,0.24,0.28,0.225
54,baseline,5.91,0.355,0.54,0.589041095890411,0.35,0.0,6.225571346298252,0.9,15.0,0.013600000000000001,0.27,0.24,0.25,0.24
55,baseline,5.295,0.42000000000000004,0.505,0.5446009389671361,0.36,0.0,6.039457077038601,0.97,13.0,0.0145,0.235,0.23,0.285,0.25
56,baseline,6.09,0.345,0.46,0.5646551724137931,0.35,0.0,6.049565661630882,1.01,30.0,0.014300000000000002,0.28,0.235,0.235,0.25
57,baseline,5.52,0.395,0.53,0.5902439024390244,0.42,0.0,5.943652529304704,0.84,23.0,0.01435,0.23,0.235,0.295,0.24
58,baseline,5.435,0.41000000000000003,0.465,0.6310160427807486,0.41,0.0,5.8419220234437645,0.69,29.0,0.014100000000000001,0.275,0.225,0.315,0.185
59,baseline,4.995,0.44499999999999995,0.555,0.5842105263157895,0.44,0.0,5.672537618755012,0.79,15.0,0.013999999999999999,0.235,0.26,0.275,0.23
60,baseline,4.455,0.505,0.495,0.5561797752808989,0.44,0.0,5.429030095004009,0.79,17.0,0.015250000000000001,0.265,0.22,0.285,0.23
61,baseline,5.295,0.42500000000000004,0.455,0.6182795698924731,0.46,0.0,5.4022240760032085,0.71,24.0,0.014700000000000001,0.305,0.225,0.245,0.225
62,baseline,5.66,0.38,0.54,0.6169154228855721,0.42,0.0,5.453779260802566,0.77,19.0,0.01395,0.255,0.24,0.275,0.23
63,baseline,5.865,0.365,0.485,0.6135265700483091,0.4,0.0,5.5360234086420546,0.8,16.0,0.013199999999999998,0.28,0.23,0.3,0.19
64,baseline,6.365,0.31000000000000005,0.535,0.6272727272727273,0.31,0.0,5.701818726913643,0.82,21.0,0.013600000000000001,0.3,0.21,0.285,0.205
65,baseline,6.245,0.31999999999999995,0.555,0.6445497630331753,0.4,0.0,5.810454981530915,0.75,15.0,0.013950000000000002,0.25,0.265,0.26,0.225
66,baseline,5.265,0.42000000000000004,0.535,0.5771144278606966,0.45,0.0,5.701363985224732,0.85,16.0,0.0152,0.26,0.225,0.255,0.26
67,baseline,5.95,0.35,0.55,0.6220095693779905,0.4,0.0,5.751091188179786,0.79,19.0,0.013799999999999998,0.25,0.25,0.26,0.24
68,baseline,5.525,0.39,0.575,0.5622119815668203,0.39,0.0,5.705872950543828,0.95,13.0,0.014850000000000002,0.255,0.26,0.245,0.24
69,baseline,5.635,0.385,0.515,0.5442477876106194,0.38,0.0,5.691698360435063,1.03,20.0,0.014450000000000001,0.29,0.215,0.26,0.235
