step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,demand_only,5.815,0.37,0.485,0.7777777777777778,0.48,0.2699999999999999,5.563000000000001,0.36,0.0,0.013450000000000002,0.5873670062235365,0.25,0.205,0.22,0.325
1,demand_only,5.87,0.355,0.58,0.6825396825396826,0.45,0.306,5.6244000000000005,0.6,0.0,0.013550000000000001,0.5958187643906492,0.25,0.245,0.21,0.295
2,demand_only,6.195,0.32499999999999996,0.555,0.645933014354067,0.34,0.31,5.738520000000001,0.74,6.0,0.0144,0.6633249580710799,0.265,0.215,0.25,0.27
3,demand_only,6.78,0.265,0.57,0.665158371040724,0.36,0.322,5.946816000000001,0.74,14.0,0.014150000000000003,0.6442049363362563,0.23,0.255,0.23,0.285
4,demand_only,6.12,0.32499999999999996,0.63,0.6521739130434783,0.35,0.3575,5.9814528000000005,0.72,10.0,0.014250000000000002,0.6519202405202649,0.25,0.26,0.2,0.29
5,demand_only,5.665,0.37,0.635,0.6702127659574468,0.39,0.27,5.918162240000002,0.62,19.0,0.014700000000000001,0.6855654600401044,0.21,0.295,0.255,0.24
6,demand_only,6.025,0.33499999999999996,0.625,0.6456310679611651,0.41,0.25499999999999995,5.939529792000001,0.73,9.0,0.01425,0.6519202405202649,0.215,0.27,0.22,0.295
7,demand_only,5.925,0.355,0.525,0.591743119266055,0.41,0.312,5.9366238336000015,0.89,11.0,0.01455,0.6745368781616021,0.3,0.23,0.24,0.23
8,demand_only,6.765,0.26,0.635,0.6577777777777778,0.31,0.31800000000000006,6.102299066880001,0.77,23.0,0.01505,0.7106335201775947,0.24,0.29,0.205,0.265
9,demand_only,5.805,0.36,0.595,0.6095238095238096,0.43,0.312,6.042839253504001,0.82,23.0,0.015299999999999998,0.7280109889280518,0.265,0.255,0.22,0.26
10,demand_only,6.09,0.32999999999999996,0.61,0.6175115207373272,0.34,0.2533333333333333,6.052271402803201,0.83,17.0,0.01595,0.7713624310270756,0.21,0.265,0.23,0.295
11,demand_only,5.64,0.38,0.56,0.5876777251184834,0.36,0.25666666666666665,5.969817122242562,0.87,26.0,0.015450000000000002,0.73824115301167,0.26,0.25,0.24,0.25
12,demand_only,5.8,0.365,0.55,0.6381909547738693,0.36,0.33,5.935853697794048,0.72,20.0,0.013900000000000001,0.6244997998398398,0.29,0.25,0.24,0.22
13,demand_only,5.41,0.4,0.59,0.6857142857142857,0.49,0.3125,5.83068295823524,0.55,22.0,0.014,0.6324555320336759,0.26,0.265,0.215,0.26
14,demand_only,5.335,0.405,0.615,0.6574585635359116,0.41,0.3525,5.731546366588191,0.62,15.0,0.0151,0.714142842854285,0.215,0.28,0.225,0.28
15,demand_only,5.53,0.385,0.62,0.6089108910891089,0.38,0.3675,5.691237093270554,0.79,7.0,0.0158,0.7615773105863908,0.24,0.255,0.255,0.25
16,demand_only,6.09,0.32999999999999996,0.61,0.6411483253588517,0.38,0.21142857142857135,5.770989674616443,0.75,18.0,0.013600000000000001,0.6,0.245,0.26,0.24,0.255
17,demand_only,5.885,0.355,0.565,0.6231884057971014,0.39,0.2433333333333334,5.7937917396931535,0.78,14.0,0.01505,0.7106335201775947,0.255,0.25,0.215,0.28
18,demand_only,5.565,0.385,0.585,0.5668202764976958,0.41,0.2766666666666666,5.748033391754523,0.94,27.0,0.015199999999999998,0.7211102550927979,0.245,0.275,0.235,0.245
19,demand_only,6.015,0.33999999999999997,0.585,0.5945945945945946,0.37,0.365,5.80142671340362,0.9,18.0,0.0148,0.6928203230275509,0.245,0.28,0.23,0.245
20,demand_only,5.97,0.33999999999999997,0.63,0.631578947368421,0.4,0.2214285714285714,5.835141370722896,0.77,36.0,0.014649999999999998,0.6819090848492928,0.25,0.285,0.235,0.23
21,demand_only,6.575,0.28500000000000003,0.575,0.6713615023474179,0.37,0.375,5.983113096578318,0.7,14.0,0.013949999999999999,0.6284902544988268,0.26,0.22,0.28,0.24
