step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,supply_adjusted,5.365,0.41500000000000004,0.485,0.75,0.47,0.312,5.473000000000001,0.39,0.0,0.014,0.6324555320336759,0.235,0.285,0.265,0.215
1,supply_adjusted,4.955,0.43999999999999995,0.645,0.7225806451612903,0.46,0.544375,5.369400000000001,0.43,0.0,0.01475,0.689202437604511,0.27,0.325,0.235,0.17
2,supply_adjusted,6.055,0.32999999999999996,0.645,0.7486033519553073,0.42,0.5441176470588235,5.50652,0.45,10.0,0.013850000000000001,0.6204836822995429,0.205,0.265,0.215,0.315
3,supply_adjusted,5.155,0.42000000000000004,0.645,0.6946107784431138,0.42,0.40705882352941175,5.436216000000002,0.51,3.0,0.016149999999999998,0.7842193570679061,0.21,0.29,0.265,0.235
4,supply_adjusted,5.65,0.375,0.6,0.6410256410256411,0.4,0.5616666666666666,5.478972800000001,0.7,9.0,0.015300000000000003,0.7280109889280518,0.24,0.255,0.265,0.24
5,supply_adjusted,6.065,0.32999999999999996,0.635,0.6203703703703703,0.35,0.5115789473684209,5.59617824,0.82,10.0,0.0137,0.6082762530298219,0.24,0.29,0.225,0.245
6,supply_adjusted,6.095,0.32999999999999996,0.605,0.5903083700440529,0.4,0.5184210526315788,5.6959425920000015,0.93,13.0,0.013500000000000002,0.5916079783099616,0.315,0.25,0.19,0.245
7,supply_adjusted,5.13,0.43000000000000005,0.57,0.5671641791044776,0.46,0.40333333333333343,5.582754073600001,0.87,17.0,0.014600000000000002,0.6782329983125268,0.215,0.265,0.335,0.185
8,supply_adjusted,6.105,0.32499999999999996,0.645,0.6338028169014085,0.33,0.5089473684210525,5.687203258880001,0.78,28.0,0.01515,0.7176350047203662,0.235,0.265,0.245,0.255
9,supply_adjusted,5.845,0.355,0.605,0.5972222222222222,0.42,0.5269230769230768,5.718762607104001,0.87,16.0,0.01355,0.5958187643906492,0.225,0.265,0.24,0.27
10,supply_adjusted,6.2,0.31999999999999995,0.6,0.6445497630331753,0.37,0.4759999999999999,5.8150100856832,0.75,17.0,0.014450000000000001,0.6670832032063166,0.24,0.25,0.255,0.255
11,supply_adjusted,5.55,0.38,0.65,0.6078431372549019,0.47,0.5734999999999999,5.762008068546561,0.8,14.0,0.013850000000000001,0.6204836822995429,0.27,0.25,0.24,0.24
12,supply_adjusted,5.63,0.375,0.62,0.5787037037037037,0.41,0.44090909090909086,5.735606454837249,0.91,18.0,0.01485,0.6964194138592059,0.26,0.225,0.26,0.255
13,supply_adjusted,6.025,0.33999999999999997,0.575,0.6197183098591549,0.37,0.39684210526315783,5.793485163869799,0.81,19.0,0.01455,0.6745368781616021,0.22,0.27,0.245,0.265
14,supply_adjusted,6.3,0.30500000000000005,0.65,0.6780487804878049,0.36,0.5570588235294117,5.894788131095838,0.66,18.0,0.015450000000000002,0.73824115301167,0.265,0.205,0.26,0.27
15,supply_adjusted,5.48,0.39,0.62,0.6387434554973822,0.41,0.5488235294117646,5.8118305048766725,0.69,17.0,0.014950000000000001,0.7035623639735145,0.27,0.255,0.24,0.235
16,supply_adjusted,5.925,0.345,0.625,0.6894736842105263,0.41,0.5357142857142857,5.834464403901339,0.59,14.0,0.013650000000000002,0.6041522986797286,0.24,0.245,0.28,0.235
17,supply_adjusted,5.25,0.41500000000000004,0.6,0.612565445026178,0.46,0.43294117647058816,5.7175715231210695,0.74,13.0,0.014799999999999997,0.6928203230275509,0.285,0.295,0.215,0.205
18,supply_adjusted,5.615,0.375,0.635,0.6476683937823834,0.41,0.4889473684210526,5.697057218496857,0.68,17.0,0.0147,0.6855654600401044,0.27,0.26,0.195,0.275
19,supply_adjusted,6.245,0.31999999999999995,0.555,0.6384976525821596,0.35,0.48900000000000005,5.806645774797485,0.77,20.0,0.015,0.7071067811865476,0.25,0.195,0.3,0.255
20,supply_adjusted,5.665,0.375,0.585,0.5868544600938967,0.43,0.42962962962962953,5.778316619837987,0.88,11.0,0.01455,0.6745368781616021,0.23,0.255,0.265,0.25
21,supply_adjusted,5.955,0.345,0.595,0.645320197044335,0.41,0.4104347826086957,5.81365329587039,0.72,26.0,0.014550000000000002,0.6745368781616021,0.25,0.21,0.25,0.29
22,supply_adjusted,5.86,0.35,0.64,0.6341463414634146,0.39,0.5316666666666667,5.822922636696314,0.75,19.0,0.015099999999999999,0.714142842854285,0.22,0.255,0.255,0.27
23,supply_adjusted,6.05,0.33499999999999996,0.6,0.6363636363636364,0.41,0.5891304347826087,5.868338109357051,0.76,12.0,0.014100000000000001,0.6403124237432849,0.26,0.255,0.24,0.245
24,supply_adjusted,6.62,0.28,0.58,0.676056338028169,0.39,0.4830000000000001,6.018670487485641,0.69,16.0,0.01425,0.6519202405202649,0.29,0.205,0.195,0.31
25,supply_adjusted,5.29,0.41000000000000003,0.61,0.5870646766169154,0.41,0.44952380952380955,5.872936389988513,0.83,11.0,0.014600000000000002,0.6782329983125268,0.225,0.255,0.225,0.295
26,supply_adjusted,6.1,0.32999999999999996,0.6,0.6090909090909091,0.39,0.48875,5.9183491119908105,0.86,16.0,0.013199999999999998,0.565685424949238,0.24,0.285,0.215,0.26
27,supply_adjusted,5.94,0.35,0.56,0.6046511627906976,0.42,0.4476470588235294,5.92267928959265,0.85,17.0,0.014700000000000001,0.6855654600401044,0.295,0.2,0.28,0.225
28,supply_adjusted,6.78,0.26,0.62,0.6948356807511737,0.34,0.5084210526315789,6.094143431674119,0.65,25.0,0.014150000000000001,0.6442049363362563,0.24,0.275,0.22,0.265
29,supply_adjusted,5.765,0.36,0.635,0.6183574879227053,0.4,0.39842105263157895,6.028314745339295,0.79,8.0,0.01475,0.689202437604511,0.23,0.27,0.26,0.24
30,supply_adjusted,6.16,0.32999999999999996,0.54,0.6203703703703703,0.37,0.46047619047619043,6.054651796271437,0.82,14.0,0.013599999999999998,0.6,0.195,0.245,0.315,0.245
31,supply_adjusted,6.2,0.31999999999999995,0.6,0.6538461538461539,0.4,0.475,6.08372143701715,0.72,16.0,0.014750000000000001,0.689202437604511,0.23,0.22,0.265,0.285
32,supply_adjusted,6.02,0.33499999999999996,0.63,0.5964125560538116,0.4,0.5505555555555555,6.070977149613721,0.9,17.0,0.013500000000000002,0.5916079783099616,0.25,0.215,0.245,0.29
33,supply_adjusted,6.225,0.31499999999999995,0.625,0.6492890995260664,0.35,0.3735000000000001,6.101781719690977,0.74,15.0,0.0147,0.6855654600401044,0.205,0.21,0.275,0.31
34,supply_adjusted,6.21,0.31499999999999995,0.64,0.6171171171171171,0.37,0.49277777777777776,6.123425375752781,0.85,17.0,0.01395,0.6284902544988268,0.225,0.235,0.26,0.28
35,supply_adjusted,6.18,0.31999999999999995,0.62,0.6634146341463415,0.37,0.5517647058823529,6.134740300602225,0.69,13.0,0.013899999999999997,0.6244997998398398,0.23,0.265,0.24,0.265
36,supply_adjusted,6.28,0.31000000000000005,0.62,0.6330275229357798,0.37,0.5619047619047618,6.16379224048178,0.8,13.0,0.013800000000000002,0.6164414002968976,0.205,0.21,0.265,0.32
37,supply_adjusted,5.71,0.365,0.64,0.596244131455399,0.4,0.3986206896551724,6.0730337923854245,0.86,10.0,0.014249999999999997,0.6519202405202649,0.26,0.23,0.22,0.29
38,supply_adjusted,5.885,0.355,0.565,0.5944700460829493,0.37,0.480625,6.03542703390834,0.88,21.0,0.01395,0.6284902544988268,0.25,0.22,0.26,0.27
39,supply_adjusted,6.04,0.33999999999999997,0.56,0.5689655172413793,0.34,0.5213043478260869,6.036341627126672,1.0,23.0,0.01465,0.6819090848492928,0.285,0.25,0.215,0.25
40,supply_adjusted,6.43,0.30000000000000004,0.57,0.6194690265486725,0.37,0.45470588235294124,6.115073301701338,0.86,21.0,0.01395,0.6284902544988268,0.27,0.25,0.235,0.245
41,supply_adjusted,6.54,0.28500000000000003,0.61,0.6163793103448276,0.37,0.4536363636363636,6.200058641361071,0.89,20.0,0.015,0.7071067811865476,0.235,0.27,0.21,0.285
42,supply_adjusted,5.145,0.42000000000000004,0.655,0.5603864734299517,0.44,0.5579166666666666,5.989046913088856,0.91,14.0,0.014700000000000001,0.6855654600401044,0.255,0.225,0.245,0.275
43,supply_adjusted,5.54,0.38,0.66,0.6294416243654822,0.38,0.5942105263157895,5.899237530471086,0.73,26.0,0.01485,0.6964194138592059,0.225,0.23,0.23,0.315
44,supply_adjusted,5.775,0.36,0.625,0.6597938144329897,0.42,0.5145454545454545,5.8743900243768685,0.66,17.0,0.014250000000000002,0.6519202405202649,0.205,0.22,0.255,0.32
45,supply_adjusted,4.765,0.46499999999999997,0.585,0.5631578947368421,0.48,0.38315789473684214,5.652512019501496,0.83,14.0,0.015450000000000002,0.73824115301167,0.265,0.235,0.245,0.255
46,supply_adjusted,6.49,0.29500000000000004,0.56,0.5778688524590164,0.33,0.43105263157894735,5.820009615601196,1.03,14.0,0.0145,0.6708203932499369,0.235,0.23,0.26,0.275
47,supply_adjusted,6.2,0.31999999999999995,0.6,0.6098654708520179,0.38,0.5377777777777778,5.896007692480957,0.87,25.0,0.013949999999999999,0.6284902544988268,0.245,0.24,0.255,0.26
48,supply_adjusted,5.585,0.39,0.515,0.5622119815668203,0.43,0.3657142857142856,5.833806153984767,0.95,21.0,0.013999999999999999,0.6324555320336759,0.235,0.25,0.29,0.225
49,supply_adjusted,6.49,0.29500000000000004,0.56,0.5778688524590164,0.28,0.4036,5.965044923187813,1.03,16.0,0.0159,0.7681145747868608,0.225,0.215,0.28,0.28
50,supply_adjusted,6.07,0.33499999999999996,0.58,0.6214953271028038,0.34,0.5645833333333333,5.986035938550251,0.81,30.0,0.01425,0.6519202405202649,0.3,0.275,0.16,0.265
51,supply_adjusted,5.765,0.365,0.585,0.635,0.37,0.37050000000000005,5.941828750840201,0.73,22.0,0.01555,0.744983221287567,0.22,0.28,0.245,0.255
