step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,baseline,5.2,0.43999999999999995,0.4,0.7133757961783439,0.54,0.0,5.44,0.45,0.0,0.012900000000000002,0.5385164807134504,0.275,0.265,0.225,0.235
1,baseline,6.225,0.32999999999999996,0.475,0.6232558139534884,0.39,0.0,5.597,0.81,0.0,0.013749999999999998,0.6123724356957945,0.255,0.235,0.26,0.25
2,baseline,5.705,0.375,0.545,0.6157635467980296,0.4,0.0,5.618600000000002,0.78,15.0,0.014699999999999998,0.6855654600401044,0.27,0.245,0.225,0.26
3,baseline,5.96,0.35,0.54,0.6467661691542289,0.41,0.0,5.686880000000001,0.71,23.0,0.014149999999999998,0.6442049363362563,0.255,0.27,0.205,0.27
4,baseline,6.005,0.355,0.445,0.6231884057971014,0.4,0.0,5.750504000000001,0.78,18.0,0.0132,0.565685424949238,0.275,0.24,0.215,0.27
5,baseline,6.035,0.33999999999999997,0.565,0.6376811594202898,0.37,0.0,5.807403200000001,0.75,13.0,0.01345,0.5873670062235365,0.25,0.26,0.235,0.255
6,baseline,5.7,0.375,0.55,0.625,0.48,0.0,5.785922560000001,0.75,16.0,0.01365,0.6041522986797286,0.235,0.225,0.27,0.27
7,baseline,6.17,0.33499999999999996,0.48,0.6157407407407407,0.4,0.0,5.862738048000001,0.83,13.0,0.013500000000000002,0.5916079783099616,0.285,0.225,0.215,0.275
8,baseline,5.78,0.37,0.52,0.5779816513761468,0.41,0.0,5.846190438400002,0.92,19.0,0.014250000000000002,0.6519202405202649,0.27,0.265,0.25,0.215
9,baseline,5.215,0.42500000000000004,0.535,0.5502392344497608,0.41,0.0,5.71995235072,0.94,22.0,0.015,0.7071067811865476,0.265,0.265,0.22,0.25
10,baseline,5.58,0.385,0.57,0.5565610859728507,0.44,0.0,5.6919618805760015,0.98,31.0,0.0147,0.6855654600401044,0.245,0.26,0.225,0.27
11,baseline,4.975,0.44999999999999996,0.525,0.5092592592592593,0.46,0.0,5.548569504460801,1.06,26.0,0.014900000000000002,0.7,0.23,0.22,0.235,0.315
12,baseline,5.585,0.395,0.465,0.5789473684210527,0.43,0.0,5.5558556035686415,0.88,35.0,0.014049999999999998,0.6363961030678927,0.255,0.26,0.235,0.25
13,baseline,6.35,0.31000000000000005,0.55,0.5702479338842975,0.35,0.0,5.7146844828549135,1.04,26.0,0.015399999999999999,0.7348469228349535,0.225,0.265,0.195,0.315
14,baseline,6.045,0.345,0.505,0.5796460176991151,0.34,0.0,5.7807475862839315,0.95,18.0,0.013949999999999999,0.6284902544988268,0.24,0.25,0.21,0.3
15,baseline,6.215,0.32999999999999996,0.485,0.6232558139534884,0.39,0.0,5.867598069027144,0.81,30.0,0.0133,0.5744562646538028,0.25,0.225,0.27,0.255
16,baseline,5.875,0.355,0.575,0.589041095890411,0.4,0.0,5.8690784552217155,0.9,21.0,0.0143,0.6557438524302001,0.22,0.265,0.27,0.245
17,baseline,5.83,0.365,0.52,0.6018957345971564,0.37,0.0,5.861262764177372,0.84,19.0,0.014900000000000004,0.7,0.215,0.275,0.225,0.285
18,baseline,6.32,0.31999999999999995,0.48,0.6098654708520179,0.32,0.0,5.953010211341898,0.87,27.0,0.014550000000000002,0.6745368781616021,0.225,0.23,0.25,0.295
19,baseline,6.12,0.33999999999999997,0.48,0.5714285714285714,0.37,0.0,5.986408169073519,0.99,11.0,0.014100000000000001,0.6403124237432849,0.255,0.23,0.27,0.245
20,baseline,5.64,0.385,0.51,0.5491071428571429,0.37,0.0,5.917126535258815,1.01,19.0,0.01455,0.6745368781616021,0.225,0.23,0.295,0.25
21,baseline,5.945,0.35,0.555,0.5579399141630901,0.36,0.0,5.9227012282070515,1.03,29.0,0.01435,0.6595452979136459,0.255,0.225,0.225,0.295
22,baseline,5.695,0.375,0.555,0.6097560975609756,0.39,0.0,5.877160982565642,0.8,29.0,0.01455,0.6745368781616021,0.245,0.24,0.26,0.255
23,baseline,6.17,0.33499999999999996,0.48,0.5990990990990991,0.36,0.0,5.935728786052514,0.89,19.0,0.01525,0.724568837309472,0.295,0.265,0.2,0.24
24,baseline,5.76,0.37,0.54,0.5915492957746479,0.45,0.0,5.900583028842011,0.87,22.0,0.013550000000000001,0.5958187643906492,0.235,0.265,0.24,0.26
