scenario,avg_income_mean,avg_income_std,avg_income_ci95,idle_rate_mean,idle_rate_std,idle_rate_ci95,matching_rate_mean,matching_rate_std,matching_rate_ci95,movement_rate_mean,movement_rate_std,movement_rate_ci95,congestion_frequency_mean,congestion_frequency_std,congestion_frequency_ci95,rider_concentration_hhi_mean,rider_concentration_hhi_std,rider_concentration_hhi_ci95,rider_density_cv_mean,rider_density_cv_std,rider_density_cv_ci95
baseline,5.8298499999999995,0.11215302046757365,0.04013344294558674,0.365175,0.011132847871238426,0.003983838446789094,0.5794225432489912,0.008154645853246998,0.0029181025417623708,0.5184,0.00966387692602609,0.003458173945087606,0.3857666666666667,0.01024840890370166,0.0036673460269282033,0.014206,0.00015584530349256484,5.576852562668938e-05,0.6470064689462055,0.01198207307108675,0.004287729781716818
demand_only,5.9552,0.1114918892983267,0.03989686019507407,0.346725,0.011128626878770649,0.003982327984033182,0.6235246146514504,0.01121450678315309,0.004013059713132727,0.57755,0.010978309335324324,0.003928537541934764,0.3843666666666667,0.012032236394107216,0.004305680496320932,0.014998416666666667,0.0002166103319778172,7.751301180844963e-05,0.7045910486861038,0.015367226274564157,0.005499091298218379
supply_adjusted,5.996616666666666,0.08821346399436464,0.03156678268218375,0.339675,0.008502319663196182,0.003042516016826153,0.6218953330008096,0.009673056202205656,0.0034614587068826836,0.6066333333333334,0.01058050690830935,0.003786185771633246,0.38061666666666666,0.010946329359049165,0.003917093654397099,0.014671,0.0001860670531713288,6.658323985722728e-05,0.6814449935475856,0.013555916303196646,0.004850922349316391
