step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,demand_only,5.3,0.42000000000000004,0.5,0.8169014084507042,0.5,0.355,5.46,0.26,0.0,0.014849999999999999,0.225,0.22,0.26,0.295
1,demand_only,5.025,0.44499999999999995,0.525,0.6727272727272727,0.46,0.2316666666666667,5.372999999999999,0.54,0.0,0.014499999999999999,0.31,0.25,0.19,0.25
2,demand_only,5.74,0.37,0.56,0.65625,0.44,0.29000000000000004,5.446400000000001,0.66,7.0,0.01375,0.29,0.225,0.25,0.235
3,demand_only,5.55,0.395,0.5,0.6402116402116402,0.39,0.26999999999999996,5.4671199999999995,0.68,12.0,0.01415,0.305,0.23,0.195,0.27
4,demand_only,6.285,0.31499999999999995,0.565,0.6199095022624435,0.4,0.2816666666666666,5.630696000000001,0.84,16.0,0.0143,0.245,0.225,0.28,0.25
5,demand_only,6.055,0.33499999999999996,0.595,0.6487804878048781,0.38,0.33,5.715556800000001,0.72,11.0,0.014350000000000002,0.22,0.295,0.205,0.28
6,demand_only,6.11,0.32999999999999996,0.59,0.6767676767676768,0.39,0.3,5.7944454400000005,0.64,24.0,0.016100000000000003,0.225,0.215,0.28,0.28
7,demand_only,5.94,0.345,0.61,0.7081081081081081,0.4,0.268,5.823556352000001,0.54,13.0,0.0145,0.235,0.25,0.28,0.235
8,demand_only,5.175,0.43000000000000005,0.525,0.6368715083798883,0.43,0.22666666666666666,5.693845081600001,0.65,11.0,0.014750000000000001,0.24,0.23,0.27,0.26
9,demand_only,5.97,0.35,0.53,0.6735751295336787,0.43,0.278,5.749076065280001,0.63,11.0,0.0148,0.265,0.18,0.275,0.28
10,demand_only,5.54,0.385,0.61,0.6180904522613065,0.44,0.31,5.707260852224001,0.76,19.0,0.0164,0.24,0.225,0.29,0.245
11,demand_only,5.945,0.35,0.555,0.593607305936073,0.38,0.22714285714285712,5.754808681779201,0.89,16.0,0.013950000000000004,0.25,0.23,0.25,0.27
12,demand_only,5.87,0.355,0.58,0.645,0.43,0.274,5.777846945423362,0.71,26.0,0.015400000000000002,0.235,0.235,0.26,0.27
13,demand_only,5.725,0.37,0.575,0.6737967914438503,0.43,0.36,5.767277556338688,0.61,28.0,0.016200000000000003,0.23,0.245,0.28,0.245
14,demand_only,5.915,0.355,0.535,0.6789473684210526,0.4,0.284,5.796822045070951,0.61,13.0,0.014150000000000001,0.3,0.165,0.28,0.255
15,demand_only,5.735,0.37,0.565,0.6206896551724138,0.45,0.2633333333333333,5.784457636056761,0.77,16.0,0.014250000000000002,0.27,0.18,0.295,0.255
16,demand_only,6.53,0.28500000000000003,0.62,0.6111111111111112,0.31,0.4175,5.933566108845408,0.91,10.0,0.015350000000000003,0.255,0.25,0.25,0.245
17,demand_only,6.505,0.29500000000000004,0.545,0.6746411483253588,0.38,0.294,6.047852887076329,0.68,29.0,0.013800000000000002,0.285,0.195,0.285,0.235
18,demand_only,6.135,0.32999999999999996,0.565,0.6232558139534884,0.39,0.316,6.065282309661062,0.81,11.0,0.014449999999999998,0.195,0.19,0.275,0.34
19,demand_only,5.175,0.42500000000000004,0.575,0.5808080808080808,0.4,0.3375,5.887225847728851,0.83,18.0,0.01705,0.27,0.205,0.23,0.295
20,demand_only,5.965,0.345,0.585,0.5770925110132159,0.36,0.33000000000000007,5.90278067818308,0.96,21.0,0.01535,0.225,0.195,0.27,0.31
21,demand_only,6.17,0.31999999999999995,0.63,0.6181818181818182,0.4,0.30200000000000005,5.956224542546465,0.84,27.0,0.01405,0.235,0.2,0.27,0.295
22,demand_only,5.785,0.36,0.615,0.6153846153846154,0.38,0.365,5.9219796340371715,0.8,22.0,0.01595,0.23,0.205,0.23,0.335
23,demand_only,6.09,0.32999999999999996,0.61,0.6320754716981132,0.33,0.314,5.955583707229737,0.78,25.0,0.014799999999999997,0.24,0.215,0.24,0.305
24,demand_only,6.175,0.32499999999999996,0.575,0.6108597285067874,0.36,0.32,5.999466965783791,0.86,17.0,0.013950000000000002,0.29,0.21,0.24,0.26
25,demand_only,6.88,0.255,0.57,0.6535087719298246,0.35,0.32199999999999995,6.175573572627031,0.79,19.0,0.0138,0.255,0.17,0.265,0.31
26,demand_only,6.7,0.275,0.55,0.6590909090909091,0.33,0.25833333333333336,6.2804588581016265,0.75,14.0,0.01435,0.28,0.23,0.215,0.275
27,demand_only,6.005,0.33999999999999997,0.595,0.6082949308755761,0.4,0.2666666666666667,6.2253670864813015,0.85,18.0,0.015950000000000002,0.28,0.17,0.265,0.285
28,demand_only,5.83,0.35,0.67,0.5829596412556054,0.39,0.316,6.146293669185041,0.93,20.0,0.015800000000000005,0.25,0.23,0.235,0.285
29,demand_only,5.82,0.355,0.63,0.6056338028169014,0.4,0.24333333333333332,6.081034935348033,0.84,26.0,0.014350000000000002,0.255,0.235,0.24,0.27
30,demand_only,5.665,0.38,0.535,0.6231155778894473,0.41,0.23,5.997827948278427,0.75,23.0,0.01615,0.195,0.215,0.305,0.285
31,demand_only,6.195,0.31999999999999995,0.605,0.6601941747572816,0.38,0.306,6.0372623586227405,0.7,22.0,0.015350000000000003,0.22,0.21,0.285,0.285
32,demand_only,6.105,0.32999999999999996,0.595,0.6442307692307693,0.33,0.39,6.050809886898194,0.74,18.0,0.0139,0.25,0.215,0.27,0.265
33,demand_only,6.655,0.275,0.595,0.6387665198237885,0.37,0.3340000000000001,6.171647909518556,0.82,14.0,0.01535,0.25,0.27,0.25,0.23
34,demand_only,6.03,0.345,0.52,0.5796460176991151,0.36,0.316,6.143318327614845,0.95,14.0,0.01545,0.235,0.2,0.275,0.29
35,demand_only,6.44,0.29500000000000004,0.61,0.6844660194174758,0.35,0.274,6.2026546620918745,0.65,26.0,0.01395,0.24,0.21,0.23,0.32
36,demand_only,5.905,0.355,0.545,0.6649484536082474,0.4,0.294,6.1431237296735,0.65,18.0,0.014250000000000004,0.255,0.16,0.325,0.26
37,demand_only,5.75,0.37,0.55,0.7,0.43,0.3225,6.0644989837388,0.54,14.0,0.0145,0.23,0.25,0.26,0.26
38,demand_only,6.33,0.31499999999999995,0.52,0.6342592592592593,0.35,0.35800000000000004,6.117599186991041,0.79,17.0,0.0154,0.215,0.195,0.285,0.305
39,demand_only,5.85,0.355,0.6,0.6354679802955665,0.42,0.345,6.0640793495928325,0.74,14.0,0.015149999999999999,0.225,0.185,0.265,0.325
40,demand_only,5.895,0.355,0.555,0.6084905660377359,0.38,0.316,6.030263479674266,0.83,20.0,0.016300000000000002,0.25,0.21,0.26,0.28
41,demand_only,6.25,0.31999999999999995,0.55,0.6044444444444445,0.38,0.306,6.074210783739414,0.89,11.0,0.01565,0.245,0.23,0.26,0.265
42,demand_only,6.665,0.275,0.585,0.6196581196581197,0.31,0.2716666666666666,6.192368626991531,0.89,18.0,0.015649999999999997,0.27,0.215,0.23,0.285
43,demand_only,5.835,0.355,0.615,0.6056338028169014,0.38,0.286,6.120894901593225,0.84,19.0,0.0161,0.21,0.21,0.28,0.3
44,demand_only,6.375,0.30500000000000005,0.575,0.6525821596244131,0.41,0.31200000000000006,6.171715921274581,0.74,27.0,0.01455,0.25,0.22,0.275,0.255
45,demand_only,5.555,0.39,0.545,0.6354166666666666,0.39,0.22666666666666666,6.048372737019665,0.7,18.0,0.0155,0.275,0.165,0.28,0.28
46,demand_only,5.275,0.41500000000000004,0.575,0.6923076923076923,0.47,0.236,5.893698189615732,0.52,19.0,0.014249999999999997,0.27,0.245,0.25,0.235
47,demand_only,6.42,0.30000000000000004,0.58,0.7368421052631579,0.4,0.3725,5.998958551692585,0.5,11.0,0.014849999999999999,0.205,0.22,0.28,0.295
48,demand_only,5.415,0.4,0.585,0.6741573033707865,0.47,0.22833333333333333,5.882166841354069,0.58,9.0,0.01365,0.22,0.18,0.31,0.29
49,demand_only,6.48,0.29000000000000004,0.62,0.6729857819905213,0.39,0.23571428571428568,6.001733473083256,0.69,12.0,0.014,0.21,0.27,0.25,0.27
50,demand_only,6.025,0.33999999999999997,0.575,0.6139534883720931,0.38,0.2683333333333333,6.006386778466603,0.83,15.0,0.01545,0.24,0.235,0.235,0.29
51,demand_only,5.825,0.36,0.575,0.6124401913875598,0.4,0.28,5.970109422773284,0.81,14.0,0.014949999999999998,0.225,0.22,0.275,0.28
52,demand_only,5.08,0.43000000000000005,0.62,0.6705882352941176,0.48,0.23399999999999999,5.792087538218627,0.56,28.0,0.0156,0.26,0.24,0.24,0.26
53,demand_only,6.215,0.31999999999999995,0.585,0.6296296296296297,0.37,0.295,5.8766700305749024,0.8,17.0,0.014350000000000002,0.245,0.255,0.24,0.26
54,demand_only,6.28,0.31000000000000005,0.62,0.6359447004608295,0.34,0.292,5.957336024459921,0.79,9.0,0.015449999999999998,0.215,0.22,0.27,0.295
55,demand_only,5.48,0.395,0.57,0.6335078534031413,0.41,0.266,5.861868819567938,0.7,21.0,0.01525,0.275,0.145,0.275,0.305
