step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,demand_only,5.335,0.41500000000000004,0.515,0.785234899328859,0.5,0.3725,5.4670000000000005,0.32,0.0,0.01395,0.6284902544988268,0.235,0.225,0.32,0.22
1,demand_only,6.185,0.32999999999999996,0.515,0.708994708994709,0.4,0.26166666666666666,5.610600000000001,0.55,0.0,0.0131,0.5567764362830022,0.215,0.24,0.315,0.23
2,demand_only,6.245,0.31999999999999995,0.555,0.6666666666666666,0.37,0.25166666666666665,5.737480000000001,0.68,2.0,0.0144,0.6633249580710799,0.27,0.245,0.215,0.27
3,demand_only,5.42,0.4,0.58,0.625,0.42,0.29000000000000004,5.673984000000001,0.72,21.0,0.0148,0.6928203230275509,0.215,0.26,0.235,0.29
4,demand_only,5.755,0.365,0.595,0.5934579439252337,0.41,0.314,5.6901872000000004,0.87,15.0,0.01495,0.7035623639735145,0.2,0.31,0.245,0.245
5,demand_only,5.915,0.35,0.585,0.6161137440758294,0.38,0.23499999999999996,5.73514976,0.81,17.0,0.0151,0.714142842854285,0.205,0.255,0.295,0.245
6,demand_only,5.6,0.385,0.55,0.6307692307692307,0.46,0.2333333333333333,5.708119808000001,0.72,26.0,0.0135,0.5916079783099616,0.255,0.22,0.285,0.24
7,demand_only,6.415,0.30500000000000005,0.535,0.6813725490196079,0.41,0.24833333333333332,5.8494958464,0.65,17.0,0.014249999999999999,0.6519202405202649,0.24,0.24,0.215,0.305
8,demand_only,5.765,0.365,0.585,0.654639175257732,0.4,0.24166666666666667,5.83259667712,0.67,16.0,0.014450000000000003,0.6670832032063166,0.225,0.29,0.25,0.235
9,demand_only,5.68,0.37,0.62,0.6237623762376238,0.47,0.2583333333333333,5.802077341696002,0.76,20.0,0.013749999999999998,0.6123724356957945,0.27,0.275,0.195,0.26
10,demand_only,5.025,0.43500000000000005,0.625,0.5978835978835979,0.47,0.25799999999999995,5.646661873356801,0.76,16.0,0.01485,0.6964194138592059,0.215,0.29,0.195,0.3
11,demand_only,5.42,0.4,0.58,0.6091370558375635,0.39,0.30199999999999994,5.601329498685441,0.77,30.0,0.014300000000000004,0.6557438524302001,0.255,0.225,0.22,0.3
12,demand_only,5.63,0.38,0.57,0.6231155778894473,0.41,0.272,5.607063598948352,0.75,14.0,0.0136,0.6,0.315,0.21,0.23,0.245
13,demand_only,6.275,0.31000000000000005,0.625,0.6448598130841121,0.39,0.316,5.740650879158682,0.76,19.0,0.0144,0.6633249580710799,0.24,0.255,0.23,0.275
14,demand_only,6.505,0.29000000000000004,0.595,0.6604651162790698,0.37,0.306,5.8935207033269466,0.73,14.0,0.01565,0.7516648189186453,0.225,0.23,0.235,0.31
15,demand_only,6.67,0.275,0.58,0.7004830917874396,0.35,0.3825,6.048816562661557,0.62,19.0,0.0148,0.6928203230275509,0.22,0.28,0.245,0.255
16,demand_only,6.135,0.33499999999999996,0.515,0.6683417085427136,0.41,0.302,6.066053250129246,0.66,14.0,0.014700000000000001,0.6855654600401044,0.22,0.205,0.29,0.285
17,demand_only,5.765,0.365,0.585,0.671957671957672,0.41,0.27399999999999997,6.005842600103397,0.62,14.0,0.013699999999999999,0.6082762530298219,0.21,0.26,0.275,0.255
18,demand_only,6.45,0.29500000000000004,0.6,0.7121212121212122,0.43,0.3725,6.094674080082719,0.57,13.0,0.014249999999999997,0.6519202405202649,0.22,0.25,0.215,0.315
19,demand_only,5.815,0.36,0.585,0.7032967032967034,0.42,0.272,6.038739264066175,0.54,11.0,0.014600000000000002,0.6782329983125268,0.235,0.205,0.285,0.275
20,demand_only,5.955,0.33999999999999997,0.645,0.6633165829145728,0.43,0.312,6.02199141125294,0.67,11.0,0.01525,0.724568837309472,0.215,0.29,0.225,0.27
21,demand_only,5.885,0.35,0.615,0.6280193236714976,0.37,0.29800000000000004,5.994593129002352,0.77,9.0,0.016,0.7745966692414834,0.21,0.25,0.265,0.275
22,demand_only,6.295,0.31000000000000005,0.605,0.6666666666666666,0.4,0.3675,6.054674503201881,0.69,17.0,0.01445,0.6670832032063166,0.26,0.25,0.21,0.28
23,demand_only,5.69,0.37,0.61,0.63,0.43,0.245,5.981739602561507,0.74,16.0,0.015300000000000001,0.7280109889280518,0.23,0.24,0.255,0.275
24,demand_only,5.52,0.385,0.63,0.6029411764705882,0.4,0.2433333333333333,5.8893916820492045,0.81,16.0,0.015050000000000001,0.7106335201775947,0.26,0.23,0.225,0.285
25,demand_only,5.925,0.345,0.625,0.6093023255813953,0.41,0.31999999999999995,5.896513345639364,0.84,26.0,0.014300000000000002,0.6557438524302001,0.2,0.285,0.225,0.29
26,demand_only,6.2,0.31999999999999995,0.6,0.5862068965517241,0.37,0.27333333333333326,5.95721067651149,0.96,16.0,0.014550000000000002,0.6745368781616021,0.23,0.275,0.21,0.285
27,demand_only,5.975,0.33999999999999997,0.625,0.6407766990291263,0.36,0.335,5.960768541209193,0.74,24.0,0.014700000000000001,0.6855654600401044,0.225,0.215,0.29,0.27
28,demand_only,6.075,0.33499999999999996,0.575,0.642512077294686,0.35,0.3825,5.983614832967355,0.74,20.0,0.015550000000000001,0.744983221287567,0.22,0.23,0.255,0.295
29,demand_only,5.685,0.37,0.615,0.6176470588235294,0.43,0.29400000000000004,5.923891866373884,0.78,17.0,0.0155,0.7416198487095663,0.195,0.275,0.235,0.295
30,demand_only,5.885,0.35,0.615,0.625,0.38,0.3,5.9161134930991075,0.78,20.0,0.016200000000000003,0.7874007874011811,0.26,0.25,0.19,0.3
31,demand_only,6.555,0.28,0.645,0.6101694915254238,0.32,0.285,6.043890794479285,0.92,13.0,0.014849999999999999,0.6964194138592059,0.235,0.215,0.225,0.325
32,demand_only,6.24,0.31999999999999995,0.56,0.6210045662100456,0.39,0.296,6.083112635583429,0.83,21.0,0.0145,0.6708203932499369,0.19,0.215,0.28,0.315
33,demand_only,5.765,0.365,0.585,0.6864864864864865,0.43,0.31,6.019490108466743,0.58,22.0,0.01585,0.7648529270389177,0.205,0.225,0.25,0.32
34,demand_only,5.88,0.35,0.62,0.7027027027027027,0.43,0.23999999999999996,5.991592086773395,0.55,17.0,0.0141,0.6403124237432849,0.25,0.18,0.215,0.355
35,demand_only,6.315,0.30500000000000005,0.635,0.6747572815533981,0.37,0.26666666666666666,6.056273669418716,0.67,9.0,0.014250000000000002,0.6519202405202649,0.27,0.205,0.24,0.285
36,demand_only,6.525,0.28500000000000003,0.625,0.6620370370370371,0.35,0.32,6.150018935534974,0.73,11.0,0.014549999999999999,0.6745368781616021,0.26,0.21,0.24,0.29
