step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,baseline,4.49,0.505,0.46,0.7071428571428572,0.56,0.0,5.297999999999999,0.41,0.0,0.013,0.5477225575051661,0.28,0.215,0.25,0.255
1,baseline,5.655,0.39,0.445,0.6130653266331658,0.47,0.0,5.369400000000001,0.77,0.0,0.01385,0.6204836822995429,0.27,0.265,0.21,0.255
2,baseline,5.66,0.39,0.44,0.6130653266331658,0.39,0.0,5.4275199999999995,0.77,17.0,0.0142,0.648074069840786,0.29,0.24,0.245,0.225
3,baseline,5.445,0.405,0.505,0.6467391304347826,0.42,0.0,5.4310160000000005,0.65,25.0,0.014299999999999997,0.6557438524302001,0.275,0.24,0.27,0.215
4,baseline,5.23,0.43000000000000005,0.47,0.6129032258064516,0.42,0.0,5.390812800000001,0.72,16.0,0.015200000000000002,0.7211102550927979,0.295,0.25,0.24,0.215
5,baseline,5.75,0.375,0.5,0.5952380952380952,0.37,0.0,5.46265024,0.85,21.0,0.0148,0.6928203230275509,0.285,0.195,0.265,0.255
6,baseline,5.395,0.405,0.555,0.5107296137339056,0.38,0.0,5.4491201920000005,1.14,16.0,0.014900000000000002,0.7,0.22,0.225,0.26,0.295
7,baseline,5.865,0.355,0.585,0.589041095890411,0.41,0.0,5.5322961536,0.9,27.0,0.01445,0.6670832032063166,0.27,0.31,0.22,0.2
8,baseline,4.835,0.46499999999999997,0.515,0.5194174757281553,0.46,0.0,5.392836922880001,0.99,29.0,0.014700000000000001,0.6855654600401044,0.265,0.245,0.255,0.235
9,baseline,5.835,0.365,0.515,0.5772727272727273,0.44,0.0,5.4812695383040015,0.93,33.0,0.013850000000000001,0.6204836822995429,0.295,0.27,0.23,0.205
10,baseline,5.185,0.43000000000000005,0.515,0.5402843601895735,0.47,0.0,5.422015630643201,0.97,25.0,0.0148,0.6928203230275509,0.3,0.26,0.245,0.195
11,baseline,5.845,0.365,0.505,0.6076555023923444,0.41,0.0,5.506612504514561,0.82,28.0,0.01425,0.6519202405202649,0.26,0.265,0.22,0.255
12,baseline,6.915,0.255,0.535,0.6651785714285714,0.36,0.0,5.788290003611649,0.75,23.0,0.01355,0.5958187643906492,0.26,0.29,0.265,0.185
