step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,supply_adjusted,5.435,0.41000000000000003,0.465,0.7919463087248322,0.53,0.24833333333333332,5.487,0.31,0.0,0.012849999999999997,0.22,0.27,0.215,0.295
1,supply_adjusted,5.735,0.365,0.615,0.7175141242937854,0.48,0.5164285714285713,5.536600000000001,0.5,0.0,0.01345,0.285,0.24,0.185,0.29
2,supply_adjusted,6.485,0.29000000000000004,0.615,0.6729857819905213,0.37,0.46428571428571425,5.72628,0.69,3.0,0.014050000000000002,0.235,0.235,0.245,0.285
3,supply_adjusted,5.465,0.395,0.585,0.5817307692307693,0.4,0.5268181818181819,5.674024,0.87,12.0,0.014100000000000001,0.185,0.195,0.25,0.37
4,supply_adjusted,5.81,0.355,0.64,0.6417910447761194,0.39,0.4926315789473684,5.701219200000001,0.72,21.0,0.015549999999999998,0.195,0.255,0.245,0.305
5,supply_adjusted,5.815,0.355,0.635,0.6201923076923077,0.39,0.6195454545454545,5.723975360000001,0.79,19.0,0.014950000000000003,0.22,0.2,0.245,0.335
6,supply_adjusted,6.13,0.32499999999999996,0.62,0.574468085106383,0.34,0.42,5.805180288000002,1.0,17.0,0.015349999999999999,0.19,0.27,0.285,0.255
7,supply_adjusted,5.78,0.36,0.62,0.6009389671361502,0.43,0.572,5.800144230400001,0.85,18.0,0.014249999999999999,0.225,0.22,0.26,0.295
8,supply_adjusted,5.5,0.39,0.6,0.6321243523316062,0.37,0.4878947368421052,5.740115384320001,0.71,26.0,0.015249999999999998,0.25,0.275,0.23,0.245
9,supply_adjusted,5.985,0.33999999999999997,0.615,0.5972850678733032,0.34,0.5633333333333332,5.789092307456001,0.89,12.0,0.01455,0.26,0.27,0.21,0.26
10,supply_adjusted,6.295,0.30500000000000005,0.655,0.6682692307692307,0.39,0.5541176470588235,5.8902738459648,0.69,15.0,0.013999999999999999,0.255,0.22,0.225,0.3
11,supply_adjusted,5.11,0.42500000000000004,0.64,0.6284153005464481,0.48,0.4564999999999999,5.734219076771841,0.68,16.0,0.0153,0.225,0.21,0.25,0.315
12,supply_adjusted,5.065,0.43000000000000005,0.635,0.5588235294117647,0.41,0.576,5.600375261417473,0.9,12.0,0.01695,0.28,0.23,0.18,0.31
13,supply_adjusted,5.33,0.41000000000000003,0.57,0.5539906103286385,0.37,0.6738461538461538,5.546300209133978,0.95,16.0,0.01575,0.275,0.2,0.255,0.27
14,supply_adjusted,6.07,0.32999999999999996,0.63,0.5826086956521739,0.39,0.5357692307692308,5.651040167307183,0.96,28.0,0.0151,0.255,0.235,0.26,0.25
15,supply_adjusted,5.95,0.33999999999999997,0.65,0.5714285714285714,0.35,0.5666666666666667,5.710832133845747,0.99,24.0,0.0147,0.2,0.25,0.235,0.315
16,supply_adjusted,6.41,0.29000000000000004,0.69,0.568,0.3,0.40880000000000005,5.850665707076598,1.08,21.0,0.0161,0.2,0.3,0.26,0.24
17,supply_adjusted,5.92,0.345,0.63,0.5874439461883408,0.36,0.5281818181818181,5.864532565661278,0.92,24.0,0.015200000000000002,0.205,0.29,0.23,0.275
18,supply_adjusted,6.075,0.32999999999999996,0.625,0.5929203539823009,0.37,0.5564,5.906626052529024,0.92,31.0,0.014499999999999999,0.195,0.29,0.3,0.215
19,supply_adjusted,6.475,0.29500000000000004,0.575,0.5802469135802469,0.31,0.42684210526315797,6.020300842023219,1.02,17.0,0.015099999999999999,0.22,0.27,0.245,0.265
20,supply_adjusted,6.295,0.30500000000000005,0.655,0.6177777777777778,0.35,0.5969565217391305,6.075240673618575,0.86,25.0,0.013850000000000001,0.2,0.28,0.25,0.27
21,supply_adjusted,6.625,0.275,0.625,0.6415929203539823,0.32,0.5494444444444444,6.18519253889486,0.81,23.0,0.014050000000000003,0.18,0.32,0.23,0.27
22,supply_adjusted,5.63,0.375,0.62,0.6038647342995169,0.41,0.44235294117647056,6.074154031115889,0.82,19.0,0.014199999999999999,0.26,0.24,0.23,0.27
23,supply_adjusted,5.18,0.42000000000000004,0.62,0.5658536585365853,0.43,0.5195454545454545,5.895323224892711,0.89,15.0,0.014750000000000003,0.29,0.24,0.21,0.26
24,supply_adjusted,6.67,0.275,0.58,0.5918367346938775,0.31,0.4880952380952381,6.0502585799141695,1.0,24.0,0.01415,0.25,0.255,0.215,0.28
25,supply_adjusted,6.105,0.33499999999999996,0.545,0.6157407407407407,0.39,0.3952631578947369,6.061206863931336,0.83,19.0,0.014100000000000001,0.225,0.285,0.22,0.27
26,supply_adjusted,5.75,0.365,0.6,0.5772727272727273,0.39,0.49333333333333335,5.998965491145068,0.93,27.0,0.015050000000000001,0.22,0.29,0.24,0.25
27,supply_adjusted,5.975,0.33999999999999997,0.625,0.5714285714285714,0.37,0.47600000000000003,5.994172392916055,0.99,21.0,0.015099999999999999,0.215,0.28,0.225,0.28
28,supply_adjusted,5.85,0.36,0.55,0.5898617511520737,0.4,0.5065217391304347,5.965337914332845,0.89,30.0,0.014350000000000002,0.235,0.22,0.275,0.27
29,supply_adjusted,6.255,0.31000000000000005,0.645,0.6,0.34,0.4522727272727272,6.023270331466276,0.92,24.0,0.014850000000000002,0.195,0.245,0.23,0.33
30,supply_adjusted,6.08,0.32499999999999996,0.67,0.6221198156682027,0.38,0.6466666666666666,6.034616265173021,0.82,16.0,0.014700000000000003,0.19,0.265,0.235,0.31
31,supply_adjusted,5.54,0.38,0.66,0.5740740740740741,0.38,0.5825,5.935693012138416,0.92,15.0,0.016249999999999997,0.22,0.28,0.25,0.25
32,supply_adjusted,6.165,0.31999999999999995,0.635,0.6071428571428571,0.32,0.586,5.981554409710734,0.88,16.0,0.015300000000000001,0.235,0.27,0.22,0.275
33,supply_adjusted,6.065,0.33499999999999996,0.585,0.6456310679611651,0.36,0.56,5.998243527768587,0.73,20.0,0.014,0.225,0.225,0.23,0.32
