step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,baseline,5.115,0.44499999999999995,0.435,0.7115384615384616,0.52,0.0,5.423000000000001,0.45,0.0,0.0137,0.6082762530298219,0.175,0.295,0.305,0.225
1,baseline,4.845,0.46499999999999997,0.505,0.6257309941520468,0.48,0.0,5.3074,0.64,0.0,0.0133,0.5744562646538028,0.285,0.26,0.275,0.18
2,baseline,5.425,0.4,0.575,0.6060606060606061,0.43,0.0,5.330920000000001,0.78,16.0,0.014150000000000001,0.6442049363362563,0.2,0.245,0.29,0.265
3,baseline,5.16,0.42500000000000004,0.59,0.5251141552511416,0.4,0.0,5.296736000000001,1.04,12.0,0.0146,0.6782329983125268,0.32,0.305,0.2,0.175
4,baseline,5.97,0.35,0.53,0.6310679611650486,0.37,0.0,5.431388800000001,0.76,27.0,0.014200000000000003,0.648074069840786,0.26,0.26,0.285,0.195
5,baseline,5.795,0.37,0.505,0.65625,0.39,0.0,5.504111040000001,0.66,23.0,0.014399999999999998,0.6633249580710799,0.26,0.235,0.27,0.235
6,baseline,5.245,0.42000000000000004,0.555,0.6236559139784946,0.42,0.0,5.452288832000002,0.7,13.0,0.013850000000000001,0.6204836822995429,0.28,0.23,0.275,0.215
7,baseline,6.275,0.31499999999999995,0.575,0.6171171171171171,0.33,0.0,5.616831065600001,0.85,12.0,0.0139,0.6244997998398398,0.28,0.225,0.3,0.195
8,baseline,6.355,0.31000000000000005,0.545,0.6,0.39,0.0,5.764464852480001,0.92,15.0,0.013649999999999999,0.6041522986797286,0.275,0.225,0.25,0.25
9,baseline,6.17,0.32999999999999996,0.53,0.5877192982456141,0.41,0.0,5.845571881984001,0.94,25.0,0.014,0.6324555320336759,0.23,0.24,0.305,0.225
10,baseline,5.615,0.385,0.535,0.5857142857142857,0.39,0.0,5.799457505587201,0.87,25.0,0.014750000000000003,0.689202437604511,0.215,0.3,0.28,0.205
11,baseline,5.42,0.405,0.53,0.54337899543379,0.43,0.0,5.7235660044697605,1.0,24.0,0.014600000000000002,0.6782329983125268,0.27,0.25,0.265,0.215
12,baseline,5.925,0.36,0.475,0.579185520361991,0.35,0.0,5.7638528035758085,0.93,26.0,0.014050000000000003,0.6363961030678927,0.305,0.23,0.29,0.175
13,baseline,5.64,0.385,0.51,0.5616438356164384,0.44,0.0,5.739082242860648,0.96,19.0,0.01365,0.6041522986797286,0.3,0.215,0.265,0.22
14,baseline,6.065,0.345,0.485,0.6093023255813953,0.39,0.0,5.804265794288519,0.84,32.0,0.0139,0.6244997998398398,0.295,0.25,0.265,0.19
15,baseline,6.355,0.31000000000000005,0.545,0.6244343891402715,0.3,0.0,5.914412635430814,0.83,22.0,0.013250000000000001,0.570087712549569,0.26,0.225,0.285,0.23
16,baseline,6.215,0.32499999999999996,0.535,0.5973451327433629,0.35,0.0,5.974530108344652,0.91,17.0,0.0143,0.6557438524302001,0.32,0.215,0.25,0.215
17,baseline,5.44,0.4,0.56,0.5741626794258373,0.42,0.0,5.867624086675721,0.89,24.0,0.014849999999999999,0.6964194138592059,0.28,0.235,0.255,0.23
18,baseline,5.525,0.395,0.525,0.6302083333333334,0.43,0.0,5.799099269340578,0.71,27.0,0.0138,0.6164414002968976,0.305,0.205,0.26,0.23
19,baseline,5.66,0.39,0.44,0.6192893401015228,0.4,0.0,5.771279415472463,0.75,19.0,0.0138,0.6164414002968976,0.305,0.2,0.315,0.18
20,baseline,5.82,0.37,0.48,0.5915492957746479,0.43,0.0,5.78102353237797,0.87,14.0,0.012800000000000004,0.5291502622129182,0.34,0.2,0.26,0.2
21,baseline,5.575,0.39,0.525,0.5893719806763285,0.36,0.0,5.7398188259023755,0.85,23.0,0.015649999999999997,0.7516648189186453,0.305,0.245,0.205,0.245
22,baseline,5.635,0.39,0.465,0.5398230088495575,0.37,0.0,5.718855060721901,1.04,18.0,0.013649999999999999,0.6041522986797286,0.305,0.18,0.325,0.19
23,baseline,5.71,0.38,0.49,0.543859649122807,0.35,0.0,5.717084048577521,1.04,25.0,0.013900000000000003,0.6244997998398398,0.33,0.18,0.275,0.215
24,baseline,6.105,0.345,0.445,0.5745614035087719,0.34,0.0,5.794667238862016,0.97,31.0,0.014150000000000001,0.6442049363362563,0.3,0.23,0.26,0.21
25,baseline,6.295,0.31999999999999995,0.505,0.5964912280701754,0.32,0.0,5.894733791089615,0.92,24.0,0.014550000000000002,0.6745368781616021,0.32,0.225,0.26,0.195
26,baseline,6.16,0.33499999999999996,0.49,0.5990990990990991,0.39,0.0,5.947787032871691,0.89,24.0,0.014350000000000003,0.6595452979136459,0.285,0.21,0.29,0.215
27,baseline,5.75,0.375,0.5,0.576036866359447,0.4,0.0,5.908229626297355,0.92,23.0,0.0137,0.6082762530298219,0.285,0.215,0.28,0.22
28,baseline,5.85,0.365,0.5,0.5247933884297521,0.33,0.0,5.896583701037883,1.15,21.0,0.014700000000000001,0.6855654600401044,0.31,0.235,0.275,0.18
29,baseline,5.82,0.365,0.53,0.5183673469387755,0.33,0.0,5.881266960830306,1.18,20.0,0.014500000000000002,0.6708203932499369,0.255,0.215,0.295,0.235
30,baseline,5.37,0.41000000000000003,0.53,0.5514018691588785,0.44,0.0,5.779013568664245,0.96,39.0,0.0144,0.6633249580710799,0.305,0.23,0.31,0.155
