step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,baseline,3.82,0.5700000000000001,0.48,0.6615384615384615,0.55,0.0,5.164000000000001,0.44,0.0,0.01375,0.6123724356957945,0.275,0.205,0.225,0.295
1,baseline,5.35,0.41500000000000004,0.5,0.65,0.48,0.0,5.201200000000001,0.63,0.0,0.012900000000000003,0.5385164807134504,0.255,0.245,0.26,0.24
2,baseline,5.435,0.405,0.515,0.5891089108910891,0.41,0.0,5.247960000000001,0.83,9.0,0.0146,0.6782329983125268,0.235,0.21,0.29,0.265
3,baseline,5.555,0.39,0.545,0.5281385281385281,0.37,0.0,5.309368000000001,1.09,11.0,0.014700000000000001,0.6855654600401044,0.265,0.255,0.28,0.2
4,baseline,6.105,0.33499999999999996,0.545,0.6100917431192661,0.35,0.0,5.468494400000001,0.85,26.0,0.0137,0.6082762530298219,0.26,0.245,0.275,0.22
5,baseline,5.765,0.375,0.485,0.589622641509434,0.47,0.0,5.5277955200000015,0.87,22.0,0.013850000000000001,0.6204836822995429,0.3,0.22,0.265,0.215
6,baseline,5.2,0.43000000000000005,0.5,0.5507246376811594,0.46,0.0,5.4622364160000005,0.93,25.0,0.013950000000000002,0.6284902544988268,0.255,0.265,0.245,0.235
7,baseline,6.11,0.33999999999999997,0.49,0.6226415094339622,0.41,0.0,5.591789132800002,0.8,21.0,0.0128,0.5291502622129182,0.255,0.23,0.315,0.2
8,baseline,6.605,0.28500000000000003,0.545,0.6137339055793991,0.36,0.0,5.794431306240001,0.9,24.0,0.01365,0.6041522986797286,0.27,0.255,0.28,0.195
9,baseline,5.845,0.36,0.555,0.5565217391304348,0.37,0.0,5.804545044992,1.02,8.0,0.014050000000000002,0.6363961030678927,0.32,0.205,0.265,0.21
10,baseline,5.435,0.405,0.515,0.5666666666666667,0.39,0.0,5.7306360359936015,0.91,23.0,0.014200000000000003,0.648074069840786,0.27,0.215,0.285,0.23
11,baseline,6.04,0.33999999999999997,0.56,0.6139534883720931,0.37,0.0,5.7925088287948805,0.83,30.0,0.013999999999999999,0.6324555320336759,0.225,0.255,0.27,0.25
12,baseline,5.08,0.43999999999999995,0.52,0.5743589743589743,0.44,0.0,5.650007063035905,0.83,17.0,0.014849999999999999,0.6964194138592059,0.265,0.235,0.32,0.18
13,baseline,6.2,0.32499999999999996,0.55,0.5973451327433629,0.37,0.0,5.760005650428724,0.91,27.0,0.0143,0.6557438524302001,0.245,0.21,0.305,0.24
14,baseline,6.03,0.35,0.47,0.5327868852459017,0.37,0.0,5.81400452034298,1.14,21.0,0.013750000000000002,0.6123724356957945,0.29,0.19,0.315,0.205
15,baseline,6.08,0.345,0.47,0.5390946502057613,0.34,0.0,5.8672036162743835,1.12,29.0,0.0143,0.6557438524302001,0.305,0.22,0.25,0.225
16,baseline,5.865,0.365,0.485,0.5427350427350427,0.36,0.0,5.866762893019509,1.07,26.0,0.01465,0.6819090848492928,0.275,0.24,0.295,0.19
17,baseline,5.94,0.355,0.51,0.5443037974683544,0.37,0.0,5.881410314415606,1.08,40.0,0.014100000000000003,0.6403124237432849,0.27,0.28,0.27,0.18
18,baseline,5.93,0.36,0.47,0.5589519650655022,0.41,0.0,5.891128251532486,1.01,18.0,0.01325,0.570087712549569,0.28,0.215,0.285,0.22
19,baseline,6.64,0.28500000000000003,0.51,0.6163793103448276,0.32,0.0,6.040902601225988,0.89,33.0,0.014450000000000001,0.6670832032063166,0.285,0.21,0.285,0.22
20,baseline,4.97,0.44999999999999996,0.53,0.5527638190954773,0.45,0.0,5.82672208098079,0.89,22.0,0.0152,0.7211102550927979,0.285,0.25,0.245,0.22
21,baseline,5.68,0.39,0.42,0.6069651741293532,0.41,0.0,5.797377664784633,0.79,29.0,0.013650000000000002,0.6041522986797286,0.26,0.255,0.265,0.22
22,baseline,5.765,0.375,0.485,0.5952380952380952,0.4,0.0,5.790902131827706,0.85,16.0,0.014000000000000002,0.6324555320336759,0.23,0.235,0.31,0.225
23,baseline,6.14,0.33499999999999996,0.51,0.5911111111111111,0.36,0.0,5.860721705462165,0.92,18.0,0.0132,0.565685424949238,0.27,0.255,0.3,0.175
24,baseline,5.755,0.375,0.495,0.5656108597285068,0.37,0.0,5.839577364369732,0.96,19.0,0.013700000000000004,0.6082762530298219,0.235,0.265,0.285,0.215
25,baseline,5.98,0.35,0.52,0.5676855895196506,0.36,0.0,5.8676618914957865,0.99,24.0,0.014249999999999997,0.6519202405202649,0.235,0.245,0.305,0.215
26,baseline,5.835,0.365,0.515,0.5720720720720721,0.38,0.0,5.861129513196629,0.95,26.0,0.014200000000000003,0.648074069840786,0.24,0.285,0.28,0.195
27,baseline,5.835,0.365,0.515,0.5720720720720721,0.38,0.0,5.855903610557302,0.95,20.0,0.014050000000000002,0.6363961030678927,0.275,0.235,0.3,0.19
28,baseline,5.765,0.37,0.535,0.5833333333333334,0.36,0.0,5.8377228884458425,0.9,35.0,0.015799999999999998,0.7615773105863908,0.28,0.245,0.275,0.2
29,baseline,5.805,0.37,0.495,0.6268656716417911,0.36,0.0,5.831178310756675,0.75,25.0,0.013900000000000001,0.6244997998398398,0.275,0.21,0.28,0.235
30,baseline,4.98,0.44499999999999995,0.57,0.5441176470588235,0.4,0.0,5.6609426486053405,0.93,22.0,0.01435,0.6595452979136459,0.295,0.29,0.24,0.175
31,baseline,5.64,0.385,0.51,0.5466666666666666,0.4,0.0,5.6567541188842725,1.02,14.0,0.0151,0.714142842854285,0.27,0.25,0.255,0.225
32,baseline,5.645,0.385,0.505,0.5394736842105263,0.37,0.0,5.654403295107418,1.05,27.0,0.015299999999999998,0.7280109889280518,0.265,0.225,0.37,0.14
33,baseline,6.605,0.29000000000000004,0.495,0.5634920634920635,0.29,0.0,5.844522636085934,1.1,20.0,0.015250000000000001,0.724568837309472,0.26,0.28,0.25,0.21
34,baseline,5.77,0.375,0.48,0.5813953488372093,0.42,0.0,5.829618108868749,0.9,30.0,0.01355,0.5958187643906492,0.28,0.245,0.265,0.21
35,baseline,5.445,0.41000000000000003,0.455,0.5592417061611374,0.41,0.0,5.752694487094999,0.93,33.0,0.01435,0.6595452979136459,0.26,0.26,0.205,0.275
36,baseline,6.03,0.345,0.52,0.645320197044335,0.36,0.0,5.808155589675998,0.72,24.0,0.01385,0.6204836822995429,0.275,0.225,0.295,0.205
37,baseline,5.87,0.36,0.53,0.6336633663366337,0.36,0.0,5.820524471740798,0.74,17.0,0.014100000000000001,0.6403124237432849,0.255,0.245,0.275,0.225
38,baseline,5.545,0.395,0.505,0.5707547169811321,0.44,0.0,5.76541957739264,0.91,15.0,0.014300000000000002,0.6557438524302001,0.295,0.2,0.305,0.2
39,baseline,5.795,0.365,0.555,0.5619469026548672,0.38,0.0,5.771335661914112,0.99,19.0,0.015050000000000001,0.7106335201775947,0.28,0.26,0.235,0.225
40,baseline,6.24,0.32999999999999996,0.46,0.5982142857142857,0.34,0.0,5.865068529531291,0.9,25.0,0.014049999999999998,0.6363961030678927,0.29,0.22,0.31,0.18
41,baseline,6.265,0.31999999999999995,0.535,0.5964912280701754,0.36,0.0,5.945054823625032,0.92,25.0,0.01535,0.7314369419163897,0.23,0.25,0.29,0.23
42,baseline,6.03,0.345,0.52,0.6036866359447005,0.39,0.0,5.962043858900026,0.86,16.0,0.013900000000000003,0.6244997998398398,0.235,0.23,0.25,0.285
