step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,baseline,5.005,0.45999999999999996,0.395,0.72,0.53,0.0,5.401000000000002,0.42,0.0,0.0131,0.5567764362830022,0.26,0.27,0.245,0.225
1,baseline,5.2,0.43000000000000005,0.5,0.6096256684491979,0.47,0.0,5.3608,0.73,0.0,0.013200000000000002,0.565685424949238,0.27,0.2,0.28,0.25
2,baseline,5.52,0.4,0.48,0.594059405940594,0.4,0.0,5.39264,0.82,12.0,0.0141,0.6403124237432849,0.28,0.3,0.225,0.195
3,baseline,5.81,0.365,0.54,0.5906976744186047,0.39,0.0,5.4761120000000005,0.88,22.0,0.013949999999999999,0.6284902544988268,0.29,0.21,0.28,0.22
4,baseline,5.655,0.385,0.495,0.6180904522613065,0.43,0.0,5.511889600000001,0.76,20.0,0.014100000000000001,0.6403124237432849,0.225,0.29,0.285,0.2
5,baseline,5.61,0.39,0.49,0.583732057416268,0.41,0.0,5.5315116799999995,0.87,25.0,0.014400000000000003,0.6633249580710799,0.22,0.26,0.305,0.215
6,baseline,5.38,0.405,0.57,0.5748792270531401,0.4,0.0,5.501209344000001,0.88,16.0,0.014,0.6324555320336759,0.265,0.28,0.25,0.205
7,baseline,5.935,0.355,0.515,0.581081081081081,0.4,0.0,5.5879674752,0.93,22.0,0.013349999999999999,0.5787918451395113,0.26,0.25,0.27,0.22
8,baseline,5.975,0.35,0.525,0.5485232067510548,0.38,0.0,5.66537398016,1.07,20.0,0.01445,0.6670832032063166,0.24,0.275,0.305,0.18
9,baseline,5.8,0.365,0.55,0.5269709543568465,0.4,0.0,5.692299184128001,1.14,31.0,0.014900000000000002,0.7,0.25,0.27,0.27,0.21
10,baseline,6.29,0.32499999999999996,0.46,0.5895196506550219,0.4,0.0,5.8118393473024,0.94,34.0,0.013649999999999999,0.6041522986797286,0.25,0.295,0.29,0.165
11,baseline,5.87,0.365,0.48,0.6318407960199005,0.37,0.0,5.823471477841922,0.74,27.0,0.013799999999999998,0.6164414002968976,0.285,0.27,0.265,0.18
12,baseline,5.605,0.385,0.545,0.6180904522613065,0.34,0.0,5.779777182273537,0.76,18.0,0.01605,0.7778174593052023,0.285,0.22,0.315,0.18
13,baseline,5.62,0.385,0.53,0.6119402985074627,0.43,0.0,5.747821745818829,0.78,19.0,0.01415,0.6442049363362563,0.275,0.26,0.265,0.2
14,baseline,5.755,0.37,0.545,0.6237623762376238,0.42,0.0,5.749257396655064,0.76,15.0,0.014199999999999999,0.648074069840786,0.275,0.26,0.265,0.2
