step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,baseline,4.715,0.485,0.435,0.7006802721088435,0.51,0.0,5.343,0.44,0.0,0.01345,0.5873670062235365,0.235,0.24,0.315,0.21
1,baseline,4.68,0.48,0.52,0.5123152709359606,0.48,0.0,5.210400000000001,0.99,0.0,0.013399999999999999,0.5830951894845301,0.29,0.23,0.27,0.21
2,baseline,5.525,0.395,0.525,0.5020746887966805,0.38,0.0,5.273320000000001,1.2,10.0,0.013850000000000001,0.6204836822995429,0.235,0.24,0.27,0.255
3,baseline,6.34,0.31000000000000005,0.56,0.5679012345679012,0.33,0.0,5.486656,1.05,43.0,0.013700000000000004,0.6082762530298219,0.26,0.22,0.265,0.255
4,baseline,5.445,0.405,0.505,0.54337899543379,0.41,0.0,5.4783248,1.0,22.0,0.014050000000000003,0.6363961030678927,0.275,0.225,0.22,0.28
5,baseline,6.56,0.28500000000000003,0.59,0.6327433628318584,0.36,0.0,5.694659840000002,0.83,27.0,0.01285,0.5338539126015656,0.23,0.22,0.315,0.235
6,baseline,6.395,0.31499999999999995,0.455,0.6088888888888889,0.36,0.0,5.834727872000001,0.88,18.0,0.013100000000000002,0.5567764362830022,0.305,0.225,0.255,0.215
7,baseline,6.335,0.31499999999999995,0.515,0.5661157024793388,0.4,0.0,5.934782297600001,1.05,16.0,0.014,0.6324555320336759,0.25,0.205,0.32,0.225
8,baseline,5.655,0.385,0.495,0.537117903930131,0.4,0.0,5.878825838080001,1.06,27.0,0.01445,0.6670832032063166,0.345,0.165,0.28,0.21
9,baseline,6.35,0.31499999999999995,0.5,0.6008771929824561,0.41,0.0,5.973060670464001,0.91,29.0,0.01405,0.6363961030678927,0.295,0.22,0.27,0.215
10,baseline,5.94,0.355,0.51,0.6,0.39,0.0,5.966448536371201,0.86,27.0,0.01445,0.6670832032063166,0.23,0.26,0.285,0.225
