step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,demand_only,4.7,0.48,0.5,0.7323943661971831,0.52,0.284,5.34,0.38,0.0,0.0154,0.7348469228349535,0.2,0.24,0.28,0.28
1,demand_only,6.35,0.31000000000000005,0.55,0.7540983606557377,0.4,0.29,5.542000000000001,0.45,0.0,0.013950000000000002,0.6284902544988268,0.285,0.2,0.235,0.28
2,demand_only,5.385,0.405,0.565,0.6538461538461539,0.45,0.29,5.5106,0.63,8.0,0.014549999999999999,0.6745368781616021,0.285,0.23,0.205,0.28
3,demand_only,5.62,0.385,0.53,0.640625,0.49,0.2316666666666667,5.5324800000000005,0.69,10.0,0.0141,0.6403124237432849,0.29,0.19,0.255,0.265
4,demand_only,6.175,0.32999999999999996,0.525,0.6442307692307693,0.36,0.23285714285714276,5.660984000000001,0.74,24.0,0.014,0.6324555320336759,0.245,0.2,0.275,0.28
5,demand_only,5.54,0.38,0.66,0.6326530612244898,0.42,0.3425,5.6367872,0.72,15.0,0.0154,0.7348469228349535,0.215,0.25,0.31,0.225
6,demand_only,5.355,0.405,0.595,0.6040609137055838,0.42,0.288,5.58042976,0.78,19.0,0.014949999999999998,0.7035623639735145,0.235,0.225,0.285,0.255
7,demand_only,6.89,0.245,0.66,0.634453781512605,0.28,0.3499999999999999,5.842343808000002,0.87,15.0,0.0162,0.7874007874011811,0.205,0.24,0.29,0.265
8,demand_only,6.645,0.28,0.555,0.7058823529411765,0.34,0.28,6.002875046400002,0.6,23.0,0.013600000000000001,0.6,0.255,0.245,0.29,0.21
9,demand_only,5.06,0.43500000000000005,0.59,0.6726190476190477,0.5,0.3125,5.8143000371200015,0.55,17.0,0.014200000000000003,0.648074069840786,0.32,0.235,0.22,0.225
10,demand_only,5.655,0.375,0.595,0.6613756613756614,0.45,0.298,5.7824400296960015,0.64,15.0,0.01315,0.5612486080160912,0.21,0.235,0.28,0.275
11,demand_only,5.86,0.355,0.59,0.645,0.43,0.2533333333333333,5.797952023756801,0.71,16.0,0.014599999999999998,0.6782329983125268,0.23,0.235,0.245,0.29
12,demand_only,6.53,0.29000000000000004,0.57,0.6995073891625616,0.35,0.294,5.944361619005441,0.61,15.0,0.0139,0.6244997998398398,0.165,0.25,0.295,0.29
13,demand_only,5.825,0.36,0.575,0.6124401913875598,0.37,0.4075,5.920489295204353,0.81,15.0,0.014700000000000001,0.6855654600401044,0.28,0.19,0.27,0.26
14,demand_only,6.625,0.28,0.575,0.6545454545454545,0.37,0.22428571428571423,6.061391436163483,0.76,18.0,0.014650000000000003,0.6819090848492928,0.295,0.24,0.24,0.225
15,demand_only,5.21,0.41500000000000004,0.64,0.612565445026178,0.41,0.27799999999999997,5.891113148930787,0.74,24.0,0.015150000000000002,0.7176350047203662,0.25,0.245,0.28,0.225
16,demand_only,6.58,0.28500000000000003,0.57,0.6470588235294118,0.35,0.27,6.028890519144629,0.78,15.0,0.01505,0.7106335201775947,0.26,0.255,0.27,0.215
17,demand_only,6.42,0.30000000000000004,0.58,0.6278026905829597,0.4,0.3340000000000001,6.107112415315703,0.83,22.0,0.014650000000000002,0.6819090848492928,0.215,0.245,0.27,0.27
18,demand_only,6.34,0.30500000000000005,0.61,0.6150442477876106,0.35,0.31000000000000005,6.153689932252563,0.87,12.0,0.01445,0.6670832032063166,0.205,0.225,0.27,0.3
19,demand_only,5.35,0.41000000000000003,0.55,0.59,0.43,0.22166666666666665,5.9929519458020515,0.82,20.0,0.013500000000000002,0.5916079783099616,0.22,0.22,0.295,0.265
20,demand_only,6.0,0.345,0.55,0.6064814814814815,0.36,0.31000000000000005,5.994361556641641,0.85,21.0,0.015199999999999998,0.7211102550927979,0.32,0.16,0.255,0.265
21,demand_only,5.625,0.37,0.675,0.6146341463414634,0.45,0.28800000000000003,5.920489245313313,0.79,24.0,0.015100000000000002,0.714142842854285,0.2,0.27,0.28,0.25
22,demand_only,5.985,0.33999999999999997,0.615,0.6567164179104478,0.37,0.28200000000000003,5.933391396250652,0.69,19.0,0.014350000000000002,0.6595452979136459,0.23,0.215,0.245,0.31
23,demand_only,6.34,0.30500000000000005,0.61,0.6205357142857143,0.34,0.34600000000000003,6.014713117000522,0.85,18.0,0.01395,0.6284902544988268,0.26,0.27,0.245,0.225
