step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
38,demand_only,6.58,0.28500000000000003,0.57,0.6190476190476191,0.28,0.30833333333333335,5.852017258645583,0.88,13.0,0.016,0.205,0.29,0.24,0.265
39,demand_only,6.2,0.31999999999999995,0.6,0.591304347826087,0.33,0.2228571428571428,5.921613806916466,0.94,14.0,0.01535,0.225,0.29,0.28,0.205
40,demand_only,6.105,0.32999999999999996,0.595,0.6350710900473934,0.36,0.288,5.958291045533173,0.77,27.0,0.016300000000000002,0.245,0.25,0.215,0.29
41,demand_only,5.61,0.385,0.54,0.6243654822335025,0.47,0.284,5.888632836426539,0.74,22.0,0.0151,0.225,0.255,0.285,0.235
42,demand_only,6.1,0.33499999999999996,0.55,0.6129032258064516,0.41,0.22571428571428565,5.93090626914123,0.84,15.0,0.013600000000000004,0.215,0.265,0.27,0.25
43,demand_only,5.91,0.345,0.64,0.6009174311926605,0.4,0.31,5.926725015312986,0.87,21.0,0.01635,0.16,0.27,0.3,0.27
44,demand_only,6.11,0.32999999999999996,0.59,0.5877192982456141,0.41,0.3340000000000001,5.963380012250388,0.94,26.0,0.015449999999999998,0.225,0.25,0.27,0.255
45,demand_only,5.9,0.355,0.55,0.5733333333333334,0.44,0.3825,5.950704009800311,0.96,22.0,0.01645,0.195,0.295,0.29,0.22
46,demand_only,5.115,0.43000000000000005,0.585,0.5728643216080402,0.47,0.3425,5.783563207840249,0.85,34.0,0.015499999999999998,0.265,0.24,0.26,0.235
47,demand_only,6.165,0.32999999999999996,0.535,0.6146788990825688,0.36,0.23285714285714276,5.859850566272198,0.84,30.0,0.0154,0.245,0.23,0.29,0.235
48,demand_only,6.29,0.31000000000000005,0.61,0.6301369863013698,0.34,0.26166666666666666,5.94588045301776,0.81,22.0,0.01535,0.21,0.295,0.265,0.23
49,demand_only,6.035,0.33999999999999997,0.565,0.5945945945945946,0.4,0.322,5.963704362414209,0.9,20.0,0.01465,0.27,0.255,0.27,0.205
50,demand_only,6.525,0.29000000000000004,0.575,0.570281124497992,0.3,0.35600000000000004,6.075963489931366,1.07,19.0,0.014950000000000001,0.215,0.28,0.225,0.28
51,demand_only,6.41,0.31000000000000005,0.49,0.5872340425531914,0.32,0.308,6.142770791945093,0.97,26.0,0.014550000000000002,0.25,0.21,0.31,0.23
52,demand_only,5.565,0.39,0.535,0.5727699530516432,0.38,0.245,6.027216633556074,0.91,31.0,0.01395,0.31,0.215,0.28,0.195
53,demand_only,6.12,0.33499999999999996,0.53,0.5990990990990991,0.4,0.316,6.04577330684486,0.89,27.0,0.013900000000000001,0.27,0.28,0.205,0.245
54,demand_only,6.225,0.32499999999999996,0.525,0.625,0.39,0.30200000000000005,6.081618645475889,0.81,24.0,0.014650000000000002,0.305,0.26,0.22,0.215
55,demand_only,5.935,0.35,0.565,0.625,0.39,0.298,6.052294916380711,0.78,22.0,0.0158,0.245,0.275,0.255,0.225
56,demand_only,5.615,0.385,0.535,0.6029411764705882,0.43,0.2157142857142857,5.964835933104569,0.81,25.0,0.01415,0.215,0.23,0.325,0.23
57,demand_only,6.32,0.31000000000000005,0.58,0.647887323943662,0.33,0.24666666666666667,6.035868746483655,0.75,16.0,0.014249999999999999,0.215,0.3,0.24,0.245
58,demand_only,6.605,0.28,0.595,0.64,0.33,0.32199999999999995,6.149694997186924,0.81,11.0,0.0154,0.225,0.3,0.215,0.26
59,demand_only,5.865,0.36,0.535,0.5871559633027523,0.41,0.2516666666666667,6.09275599774954,0.9,14.0,0.013649999999999999,0.23,0.24,0.26,0.27
60,demand_only,6.55,0.28500000000000003,0.6,0.6412556053811659,0.36,0.2171428571428571,6.184204798199631,0.8,19.0,0.01365,0.21,0.2,0.35,0.24
61,demand_only,5.675,0.375,0.575,0.628140703517588,0.39,0.335,6.082363838559706,0.74,15.0,0.015299999999999998,0.245,0.235,0.285,0.235
62,demand_only,5.06,0.43999999999999995,0.54,0.6436781609195402,0.49,0.25599999999999995,5.877891070847764,0.62,28.0,0.01475,0.24,0.225,0.295,0.24
63,demand_only,5.665,0.375,0.585,0.6684491978609626,0.43,0.3575,5.835312856678213,0.62,18.0,0.01565,0.235,0.245,0.235,0.285
64,demand_only,6.205,0.31999999999999995,0.595,0.6355140186915887,0.38,0.32800000000000007,5.909250285342569,0.78,12.0,0.015700000000000002,0.205,0.245,0.275,0.275
65,demand_only,5.755,0.365,0.595,0.6479591836734694,0.39,0.3525,5.878400228274057,0.69,23.0,0.014850000000000002,0.255,0.24,0.24,0.265
66,demand_only,5.735,0.365,0.615,0.6580310880829016,0.45,0.3525,5.8497201826192455,0.66,17.0,0.0148,0.21,0.21,0.305,0.275
67,demand_only,5.82,0.355,0.63,0.6292682926829268,0.4,0.25666666666666665,5.843776146095397,0.76,15.0,0.014750000000000003,0.205,0.245,0.25,0.3
68,demand_only,6.065,0.32999999999999996,0.635,0.6600985221674877,0.34,0.286,5.888020916876317,0.69,16.0,0.01415,0.265,0.28,0.225,0.23
69,demand_only,6.585,0.28,0.615,0.6486486486486487,0.39,0.33399999999999996,6.027416733501054,0.78,14.0,0.015000000000000003,0.21,0.225,0.305,0.26
70,demand_only,6.815,0.27,0.485,0.6606334841628959,0.3,0.314,6.184933386800843,0.75,14.0,0.015350000000000003,0.21,0.265,0.305,0.22
71,demand_only,5.42,0.395,0.63,0.5734597156398105,0.38,0.26166666666666666,6.031946709440676,0.9,21.0,0.015250000000000001,0.255,0.22,0.245,0.28
72,demand_only,5.965,0.345,0.585,0.5598290598290598,0.41,0.2683333333333333,6.018557367552539,1.03,17.0,0.015400000000000002,0.22,0.265,0.29,0.225
73,demand_only,6.11,0.33499999999999996,0.54,0.5807860262008734,0.36,0.25666666666666665,6.036845894042033,0.96,28.0,0.0142,0.24,0.23,0.27,0.26
74,demand_only,5.84,0.36,0.56,0.6530612244897959,0.4,0.262,5.997476715233626,0.68,31.0,0.013849999999999998,0.29,0.22,0.245,0.245
75,demand_only,5.545,0.39,0.555,0.6524064171122995,0.42,0.2266666666666667,5.906981372186902,0.65,17.0,0.0142,0.23,0.25,0.305,0.215
76,demand_only,5.885,0.355,0.565,0.6323529411764706,0.36,0.26166666666666666,5.902585097749522,0.75,18.0,0.014700000000000001,0.225,0.25,0.265,0.26
77,demand_only,6.235,0.31499999999999995,0.615,0.5930735930735931,0.34,0.33399999999999996,5.969068078199616,0.94,11.0,0.014900000000000002,0.235,0.265,0.245,0.255
78,demand_only,6.075,0.33499999999999996,0.575,0.588495575221239,0.41,0.21285714285714277,5.990254462559694,0.93,17.0,0.014099999999999998,0.26,0.22,0.27,0.25
79,demand_only,6.66,0.28500000000000003,0.49,0.6559633027522935,0.36,0.308,6.124203570047755,0.75,29.0,0.01435,0.26,0.2,0.265,0.275
80,demand_only,6.385,0.30000000000000004,0.615,0.6965174129353234,0.36,0.3725,6.176362856038204,0.61,23.0,0.014249999999999999,0.265,0.235,0.245,0.255
81,demand_only,5.28,0.41500000000000004,0.57,0.6358695652173914,0.41,0.3425,5.997090284830564,0.67,14.0,0.01565,0.22,0.225,0.235,0.32
82,demand_only,6.5,0.29500000000000004,0.55,0.7014925373134329,0.36,0.3775,6.097672227864451,0.6,17.0,0.014300000000000002,0.27,0.165,0.275,0.29
83,demand_only,6.12,0.33499999999999996,0.53,0.7228260869565217,0.36,0.3475,6.102137782291561,0.51,15.0,0.014900000000000002,0.195,0.22,0.32,0.265
84,demand_only,5.67,0.37,0.63,0.6395939086294417,0.38,0.314,6.015710225833249,0.71,11.0,0.01405,0.225,0.27,0.28,0.225
85,demand_only,5.98,0.345,0.57,0.5622317596566524,0.32,0.29333333333333333,6.0085681806666,1.02,14.0,0.0145,0.245,0.255,0.255,0.245
86,demand_only,5.775,0.365,0.575,0.5695067264573991,0.37,0.2316666666666667,5.9618545445332805,0.96,18.0,0.0149,0.24,0.22,0.295,0.245
87,demand_only,5.995,0.33999999999999997,0.605,0.6502463054187192,0.38,0.3475,5.968483635626623,0.71,32.0,0.0146,0.295,0.26,0.22,0.225
88,demand_only,5.855,0.35,0.645,0.6565656565656566,0.41,0.3625,5.9457869085013,0.68,18.0,0.0156,0.18,0.235,0.285,0.3
89,demand_only,6.425,0.30000000000000004,0.575,0.7106598984771574,0.37,0.3725,6.041629526801039,0.57,20.0,0.013850000000000001,0.3,0.155,0.28,0.265
90,demand_only,5.59,0.38,0.61,0.5990338164251208,0.44,0.2285714285714285,5.9513036214408315,0.83,10.0,0.014900000000000004,0.235,0.27,0.265,0.23
91,demand_only,6.58,0.28500000000000003,0.57,0.680952380952381,0.37,0.345,6.077042897152666,0.67,11.0,0.014000000000000005,0.21,0.25,0.27,0.27
92,demand_only,6.015,0.33999999999999997,0.585,0.6439024390243903,0.35,0.31000000000000005,6.064634317722133,0.73,17.0,0.015700000000000002,0.235,0.24,0.27,0.255
93,demand_only,5.62,0.39,0.48,0.6455026455026455,0.39,0.252,5.975707454177707,0.67,10.0,0.014750000000000001,0.215,0.195,0.295,0.295
94,demand_only,5.675,0.38,0.525,0.656084656084656,0.41,0.292,5.915565963342164,0.65,24.0,0.015950000000000002,0.18,0.235,0.31,0.275
95,demand_only,4.88,0.45499999999999996,0.57,0.5797872340425532,0.45,0.28,5.708452770673732,0.79,17.0,0.01665,0.29,0.32,0.18,0.21
96,demand_only,5.595,0.385,0.555,0.6059113300492611,0.41,0.23833333333333337,5.685762216538985,0.8,19.0,0.01575,0.26,0.255,0.28,0.205
97,demand_only,5.84,0.36,0.56,0.649746192893401,0.41,0.28,5.71660977323119,0.69,23.0,0.0148,0.26,0.215,0.28,0.245
98,demand_only,5.93,0.355,0.52,0.6354679802955665,0.41,0.29800000000000004,5.759287818584952,0.74,15.0,0.0147,0.23,0.25,0.27,0.25
99,demand_only,6.175,0.32999999999999996,0.525,0.6568627450980392,0.4,0.294,5.842430254867961,0.7,17.0,0.0133,0.225,0.24,0.26,0.275
100,demand_only,5.12,0.43000000000000005,0.58,0.5786802030456852,0.44,0.2366666666666667,5.6979442038943695,0.83,15.0,0.015,0.195,0.22,0.355,0.23
101,demand_only,5.955,0.35,0.545,0.593607305936073,0.37,0.316,5.749355363115496,0.89,22.0,0.0151,0.235,0.24,0.245,0.28
102,demand_only,5.67,0.375,0.58,0.5868544600938967,0.41,0.29600000000000004,5.733484290492397,0.88,24.0,0.015200000000000002,0.3,0.27,0.195,0.235
103,demand_only,5.635,0.38,0.565,0.5560538116591929,0.38,0.22857142857142854,5.713787432393917,0.99,25.0,0.01485,0.27,0.235,0.225,0.27
104,demand_only,5.94,0.35,0.56,0.6220095693779905,0.36,0.264,5.759029945915134,0.79,22.0,0.016399999999999998,0.275,0.185,0.26,0.28
105,demand_only,5.615,0.375,0.635,0.5980861244019139,0.38,0.318,5.7302239567321065,0.84,29.0,0.015300000000000001,0.2,0.26,0.335,0.205
106,demand_only,5.77,0.365,0.58,0.5746606334841629,0.35,0.306,5.738179165385686,0.94,16.0,0.0146,0.27,0.215,0.23,0.285
107,demand_only,5.71,0.38,0.49,0.5849056603773585,0.36,0.2316666666666667,5.732543332308549,0.88,21.0,0.01475,0.315,0.23,0.245,0.21
108,demand_only,6.425,0.30000000000000004,0.575,0.6422018348623854,0.33,0.306,5.871034665846839,0.78,23.0,0.01445,0.26,0.2,0.235,0.305
109,demand_only,6.985,0.24,0.615,0.6666666666666666,0.35,0.2833333333333333,6.093827732677471,0.76,20.0,0.01405,0.21,0.26,0.29,0.24
110,demand_only,5.76,0.365,0.59,0.6105769230769231,0.38,0.298,6.027062186141977,0.81,17.0,0.0153,0.235,0.21,0.24,0.315
111,demand_only,5.885,0.35,0.615,0.6435643564356436,0.43,0.276,5.998649748913583,0.72,17.0,0.0139,0.22,0.24,0.245,0.295
112,demand_only,6.365,0.30500000000000005,0.585,0.6205357142857143,0.37,0.2175,6.071919799130866,0.85,22.0,0.013299999999999998,0.21,0.27,0.275,0.245
113,demand_only,6.365,0.30500000000000005,0.585,0.6289592760180995,0.31,0.292,6.130535839304693,0.82,10.0,0.014900000000000004,0.275,0.235,0.25,0.24
114,demand_only,5.96,0.35,0.54,0.6565656565656566,0.41,0.292,6.096428671443755,0.68,30.0,0.014550000000000004,0.24,0.245,0.295,0.22
115,demand_only,5.935,0.35,0.565,0.593607305936073,0.39,0.23428571428571426,6.064142937155005,0.89,13.0,0.014849999999999999,0.235,0.19,0.29,0.285
116,demand_only,5.44,0.4,0.56,0.594059405940594,0.35,0.26,5.939314349724003,0.82,17.0,0.015799999999999998,0.245,0.245,0.235,0.275
117,demand_only,5.845,0.355,0.605,0.6548223350253807,0.42,0.28800000000000003,5.920451479779204,0.68,29.0,0.014700000000000003,0.22,0.245,0.25,0.285
118,demand_only,5.825,0.37,0.475,0.63,0.4,0.2516666666666667,5.901361183823362,0.74,19.0,0.014750000000000001,0.275,0.215,0.26,0.25
119,demand_only,5.57,0.385,0.58,0.6089108910891089,0.45,0.23666666666666664,5.835088947058691,0.79,14.0,0.015200000000000002,0.215,0.22,0.26,0.305
120,demand_only,6.54,0.29500000000000004,0.51,0.6130434782608696,0.36,0.33,5.9760711576469525,0.89,14.0,0.01415,0.27,0.195,0.295,0.24
121,demand_only,5.96,0.345,0.59,0.5646551724137931,0.41,0.322,5.9728569261175615,1.01,18.0,0.015850000000000006,0.225,0.295,0.26,0.22
122,demand_only,6.28,0.31499999999999995,0.57,0.5637860082304527,0.4,0.29333333333333333,6.03428554089405,1.06,34.0,0.014950000000000001,0.25,0.245,0.25,0.255
123,demand_only,5.775,0.365,0.575,0.5450643776824035,0.4,0.2271428571428571,5.982428432715239,1.06,32.0,0.013949999999999999,0.24,0.235,0.34,0.185
124,demand_only,5.575,0.385,0.575,0.5642201834862385,0.42,0.35,5.900942746172192,0.95,28.0,0.01385,0.29,0.24,0.265,0.205
125,demand_only,5.01,0.44499999999999995,0.54,0.5721649484536082,0.48,0.268,5.722754196937753,0.83,35.0,0.0156,0.285,0.235,0.29,0.19
126,demand_only,6.16,0.31999999999999995,0.64,0.6415094339622641,0.36,0.314,5.810203357550204,0.76,28.0,0.015549999999999998,0.215,0.26,0.255,0.27
127,demand_only,6.12,0.32999999999999996,0.58,0.6836734693877551,0.38,0.3375,5.872162686040163,0.62,15.0,0.0149,0.27,0.215,0.275,0.24
128,demand_only,5.06,0.43999999999999995,0.54,0.5863874345549738,0.43,0.292,5.709730148832129,0.79,17.0,0.01615,0.24,0.245,0.295,0.22
129,demand_only,6.1,0.32999999999999996,0.6,0.6633663366336634,0.37,0.35,5.787784119065704,0.68,17.0,0.013900000000000001,0.22,0.255,0.26,0.265
130,demand_only,5.805,0.36,0.595,0.64,0.43,0.30600000000000005,5.791227295252563,0.72,21.0,0.014750000000000001,0.23,0.255,0.26,0.255
131,demand_only,5.66,0.375,0.59,0.6443298969072165,0.36,0.26999999999999996,5.764981836202051,0.69,13.0,0.016699999999999996,0.21,0.27,0.255,0.265
132,demand_only,5.5,0.395,0.55,0.6111111111111112,0.38,0.29600000000000004,5.7119854689616405,0.77,19.0,0.0158,0.315,0.165,0.29,0.23
133,demand_only,6.25,0.31499999999999995,0.6,0.6088888888888889,0.34,0.2783333333333334,5.819588375169314,0.88,19.0,0.01525,0.275,0.245,0.2,0.28
134,demand_only,5.86,0.365,0.49,0.5746606334841629,0.4,0.2185714285714285,5.8276707001354495,0.94,20.0,0.015149999999999999,0.285,0.205,0.345,0.165
135,demand_only,6.595,0.28500000000000003,0.555,0.588477366255144,0.32,0.3440000000000001,5.981136560108361,1.0,23.0,0.015099999999999999,0.24,0.235,0.31,0.215
136,demand_only,6.625,0.28,0.575,0.6428571428571429,0.3,0.37,6.109909248086687,0.8,24.0,0.01545,0.25,0.21,0.285,0.255
137,demand_only,6.0,0.345,0.55,0.6009174311926605,0.37,0.2633333333333333,6.0879273984693505,0.87,20.0,0.0164,0.235,0.225,0.25,0.29
138,demand_only,5.835,0.365,0.515,0.5772727272727273,0.34,0.30999999999999994,6.03734191877548,0.93,22.0,0.01575,0.22,0.195,0.33,0.255
139,demand_only,6.38,0.31000000000000005,0.52,0.641860465116279,0.37,0.292,6.105873535020384,0.77,24.0,0.01355,0.295,0.24,0.21,0.255
140,demand_only,6.715,0.275,0.535,0.69377990430622,0.38,0.28800000000000003,6.227698828016307,0.64,12.0,0.013850000000000001,0.22,0.185,0.3,0.295
141,demand_only,6.1,0.33499999999999996,0.55,0.689119170984456,0.43,0.292,6.202159062413048,0.6,17.0,0.0138,0.275,0.265,0.265,0.195
142,demand_only,5.89,0.355,0.56,0.6482412060301508,0.42,0.306,6.139727249930438,0.7,14.0,0.014900000000000004,0.245,0.21,0.265,0.28
143,demand_only,5.885,0.35,0.615,0.6341463414634146,0.38,0.3,6.088781799944351,0.75,15.0,0.0161,0.275,0.27,0.175,0.28
