step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,supply_adjusted,5.205,0.42500000000000004,0.545,0.8041958041958042,0.49,0.23833333333333337,5.441000000000002,0.28,0.0,0.0144,0.6633249580710799,0.275,0.23,0.23,0.265
1,supply_adjusted,5.255,0.42000000000000004,0.545,0.7073170731707317,0.45,0.4666666666666666,5.403800000000001,0.48,0.0,0.015550000000000001,0.744983221287567,0.265,0.245,0.23,0.26
2,supply_adjusted,5.86,0.355,0.59,0.675392670157068,0.44,0.5685,5.495040000000001,0.62,3.0,0.013749999999999998,0.6123724356957945,0.25,0.27,0.28,0.2
3,supply_adjusted,6.16,0.32499999999999996,0.59,0.645933014354067,0.36,0.46560000000000007,5.628032000000001,0.74,8.0,0.01415,0.6442049363362563,0.28,0.27,0.25,0.2
4,supply_adjusted,5.925,0.345,0.625,0.6064814814814815,0.36,0.5322727272727272,5.6874256,0.85,13.0,0.014100000000000001,0.6403124237432849,0.285,0.265,0.26,0.19
5,supply_adjusted,6.01,0.33999999999999997,0.59,0.6027397260273972,0.43,0.5099999999999999,5.751940480000001,0.87,16.0,0.01565,0.7516648189186453,0.28,0.235,0.23,0.255
6,supply_adjusted,6.765,0.26,0.635,0.6462882096069869,0.35,0.4970833333333334,5.954552384000001,0.81,22.0,0.013499999999999998,0.5916079783099616,0.265,0.27,0.23,0.235
7,supply_adjusted,6.01,0.33499999999999996,0.64,0.59375,0.38,0.5449999999999999,5.965641907200002,0.91,14.0,0.014500000000000002,0.6708203932499369,0.235,0.265,0.28,0.22
8,supply_adjusted,6.07,0.32999999999999996,0.63,0.6536585365853659,0.39,0.4942105263157894,5.986513525760001,0.71,20.0,0.01505,0.7106335201775947,0.27,0.23,0.23,0.27
9,supply_adjusted,5.67,0.365,0.68,0.5720720720720721,0.37,0.6017391304347827,5.923210820608001,0.95,11.0,0.015700000000000002,0.7549834435270749,0.2,0.27,0.265,0.265
10,supply_adjusted,6.28,0.31499999999999995,0.57,0.5879828326180258,0.39,0.5472222222222222,5.994568656486401,0.96,14.0,0.013999999999999999,0.6324555320336759,0.33,0.225,0.22,0.225
11,supply_adjusted,6.345,0.30500000000000005,0.605,0.6205357142857143,0.37,0.5349999999999999,6.064654925189121,0.85,25.0,0.013549999999999998,0.5958187643906492,0.235,0.295,0.25,0.22
12,supply_adjusted,6.03,0.33499999999999996,0.62,0.6129032258064516,0.36,0.40263157894736845,6.057723940151297,0.84,16.0,0.0149,0.7,0.305,0.19,0.25,0.255
13,supply_adjusted,6.455,0.29500000000000004,0.595,0.6619718309859155,0.37,0.5800000000000001,6.137179152121038,0.72,18.0,0.013699999999999999,0.6082762530298219,0.285,0.265,0.23,0.22
14,supply_adjusted,5.86,0.355,0.59,0.6292682926829268,0.39,0.4755,6.08174332169683,0.76,13.0,0.014400000000000001,0.6633249580710799,0.275,0.21,0.21,0.305
15,supply_adjusted,5.82,0.355,0.63,0.5201612903225806,0.39,0.5599999999999999,6.029394657357464,1.19,12.0,0.014600000000000002,0.6782329983125268,0.29,0.27,0.225,0.215
16,supply_adjusted,6.665,0.27,0.635,0.5983606557377049,0.32,0.494,6.156515725885972,0.98,19.0,0.01625,0.7905694150420949,0.215,0.23,0.295,0.26
17,supply_adjusted,6.005,0.33499999999999996,0.645,0.6456310679611651,0.37,0.5654166666666667,6.126212580708778,0.73,43.0,0.015150000000000002,0.7176350047203662,0.275,0.19,0.235,0.3
18,supply_adjusted,5.76,0.365,0.59,0.675531914893617,0.43,0.48157894736842105,6.052970064567023,0.61,12.0,0.014299999999999998,0.6557438524302001,0.27,0.26,0.26,0.21
19,supply_adjusted,6.205,0.31499999999999995,0.645,0.6650485436893204,0.39,0.4025000000000001,6.083376051653619,0.69,15.0,0.013649999999999999,0.6041522986797286,0.235,0.25,0.28,0.235
