step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,demand_only,4.475,0.5,0.525,0.7692307692307693,0.57,0.26,5.295,0.3,0.0,0.0131,0.275,0.225,0.19,0.31
1,demand_only,5.75,0.375,0.5,0.7267441860465116,0.44,0.284,5.386000000000001,0.47,0.0,0.014599999999999998,0.25,0.27,0.23,0.25
2,demand_only,5.73,0.37,0.57,0.6885245901639344,0.45,0.282,5.4548000000000005,0.57,5.0,0.013549999999999998,0.225,0.25,0.29,0.235
3,demand_only,5.81,0.36,0.59,0.649746192893401,0.45,0.24666666666666667,5.5258400000000005,0.69,8.0,0.013750000000000002,0.26,0.27,0.235,0.235
4,demand_only,6.415,0.30000000000000004,0.585,0.6698564593301436,0.36,0.3725,5.703672000000001,0.69,9.0,0.0156,0.24,0.315,0.22,0.225
5,demand_only,6.57,0.28500000000000003,0.58,0.7526315789473684,0.36,0.355,5.8769376000000015,0.47,21.0,0.014,0.225,0.265,0.24,0.27
6,demand_only,5.985,0.345,0.565,0.6968085106382979,0.42,0.3,5.89855008,0.57,9.0,0.014150000000000001,0.245,0.265,0.255,0.235
7,demand_only,6.07,0.33499999999999996,0.58,0.6551724137931034,0.37,0.306,5.9328400640000005,0.7,7.0,0.015050000000000001,0.295,0.255,0.24,0.21
8,demand_only,5.48,0.395,0.57,0.6402116402116402,0.39,0.27,5.8422720512,0.68,16.0,0.015300000000000001,0.265,0.2,0.275,0.26
9,demand_only,4.735,0.45999999999999996,0.665,0.6666666666666666,0.48,0.21999999999999997,5.620817640960001,0.54,16.0,0.0144,0.235,0.255,0.235,0.275
10,demand_only,6.01,0.33999999999999997,0.59,0.6947368421052632,0.4,0.31,5.698654112768001,0.58,19.0,0.015,0.225,0.235,0.295,0.245
11,demand_only,5.12,0.43500000000000005,0.53,0.565,0.42,0.24499999999999997,5.582923290214401,0.87,5.0,0.014750000000000003,0.26,0.23,0.27,0.24
12,demand_only,6.985,0.24,0.615,0.6909090909090909,0.32,0.30999999999999994,5.86333863217152,0.68,22.0,0.01425,0.235,0.275,0.25,0.24
13,demand_only,5.815,0.36,0.585,0.6037735849056604,0.38,0.322,5.853670905737217,0.84,17.0,0.014749999999999997,0.305,0.18,0.24,0.275
14,demand_only,6.29,0.31499999999999995,0.56,0.6061946902654868,0.36,0.312,5.940936724589774,0.89,14.0,0.0148,0.265,0.21,0.195,0.33
15,demand_only,5.705,0.375,0.545,0.589622641509434,0.39,0.21428571428571425,5.89374937967182,0.87,27.0,0.014050000000000002,0.265,0.245,0.215,0.275
16,demand_only,5.71,0.375,0.54,0.5506607929515418,0.38,0.22285714285714278,5.856999503737455,1.02,16.0,0.015099999999999999,0.265,0.175,0.275,0.285
17,demand_only,6.335,0.30500000000000005,0.615,0.5791666666666667,0.31,0.275,5.952599602989965,1.01,27.0,0.016150000000000005,0.245,0.19,0.255,0.31
18,demand_only,6.485,0.29000000000000004,0.615,0.6200873362445415,0.33,0.31,6.059079682391972,0.87,27.0,0.01505,0.275,0.255,0.235,0.235
19,demand_only,5.69,0.37,0.61,0.6,0.39,0.2333333333333333,5.985263745913578,0.84,17.0,0.015350000000000003,0.225,0.28,0.23,0.265
20,demand_only,5.74,0.37,0.56,0.6,0.4,0.25,5.936210996730861,0.84,24.0,0.014900000000000002,0.25,0.28,0.19,0.28
21,demand_only,6.385,0.30000000000000004,0.615,0.6167400881057269,0.36,0.2583333333333333,6.025968797384691,0.87,12.0,0.016500000000000004,0.22,0.2,0.265,0.315
22,demand_only,5.88,0.36,0.52,0.64,0.39,0.3475,5.996775037907753,0.72,26.0,0.016200000000000003,0.26,0.2,0.29,0.25
23,demand_only,5.69,0.375,0.56,0.6544502617801047,0.38,0.35,5.935420030326202,0.66,21.0,0.014600000000000002,0.265,0.19,0.235,0.31
24,demand_only,5.595,0.38,0.605,0.6739130434782609,0.43,0.27399999999999997,5.867336024260961,0.6,19.0,0.014650000000000003,0.25,0.175,0.265,0.31
25,demand_only,5.905,0.355,0.545,0.6548223350253807,0.38,0.37,5.8748688194087695,0.68,11.0,0.0157,0.325,0.16,0.225,0.29
26,demand_only,6.42,0.30000000000000004,0.58,0.6763285024154589,0.33,0.25666666666666665,5.983895055527016,0.67,15.0,0.014700000000000001,0.275,0.19,0.24,0.295
27,demand_only,5.38,0.405,0.57,0.6263157894736842,0.41,0.27599999999999997,5.863116044421613,0.71,15.0,0.014950000000000001,0.285,0.185,0.25,0.28
28,demand_only,6.115,0.32499999999999996,0.635,0.6683168316831684,0.36,0.28800000000000003,5.913492835537291,0.67,13.0,0.0162,0.24,0.215,0.26,0.285
29,demand_only,5.93,0.35,0.57,0.5882352941176471,0.35,0.2816666666666667,5.9167942684298325,0.91,15.0,0.015499999999999998,0.24,0.165,0.235,0.36
30,demand_only,6.5,0.29000000000000004,0.6,0.6200873362445415,0.37,0.30600000000000005,6.033435414743866,0.87,15.0,0.014450000000000003,0.255,0.215,0.255,0.275
31,demand_only,6.345,0.30500000000000005,0.605,0.6289592760180995,0.38,0.25166666666666665,6.095748331795094,0.82,17.0,0.01565,0.23,0.22,0.215,0.335
32,demand_only,5.725,0.37,0.575,0.6206896551724138,0.45,0.29400000000000004,6.021598665436074,0.77,26.0,0.0151,0.23,0.215,0.265,0.29
33,demand_only,5.54,0.385,0.61,0.6577540106951871,0.39,0.268,5.925278932348861,0.64,24.0,0.01445,0.225,0.185,0.26,0.33
34,demand_only,5.985,0.35,0.515,0.6403940886699507,0.43,0.2583333333333333,5.937223145879089,0.73,16.0,0.014450000000000001,0.265,0.23,0.25,0.255
35,demand_only,6.055,0.32999999999999996,0.645,0.6568627450980392,0.39,0.29200000000000004,5.960778516703272,0.7,15.0,0.015000000000000003,0.24,0.23,0.245,0.285
