step,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
45,6.2,0.33499999999999996,0.45,0.5782608695652174,0.36,5.926560944227217,0.97,19.0,0.013450000000000002,0.29,0.21,0.29,0.21
46,6.75,0.275,0.5,0.6196581196581197,0.32,6.091248755381773,0.89,24.0,0.013600000000000001,0.28,0.25,0.245,0.225
47,6.15,0.33499999999999996,0.5,0.5807860262008734,0.33,6.102999004305418,0.96,17.0,0.0142,0.26,0.285,0.23,0.225
48,6.435,0.30500000000000005,0.515,0.5864978902953587,0.29,6.1693992034443355,0.98,13.0,0.014350000000000002,0.245,0.22,0.32,0.215
49,6.17,0.32999999999999996,0.53,0.6232558139534884,0.41,6.1695193627554685,0.81,23.0,0.014499999999999999,0.195,0.22,0.305,0.28
50,5.675,0.385,0.475,0.5466666666666666,0.42,6.070615490204375,1.02,23.0,0.014599999999999998,0.29,0.14,0.325,0.245
51,5.465,0.4,0.535,0.5042016806722689,0.36,5.949492392163499,1.18,24.0,0.01425,0.28,0.255,0.275,0.19
52,5.94,0.355,0.51,0.5265306122448979,0.37,5.9475939137308,1.16,34.0,0.014,0.295,0.25,0.26,0.195
53,5.765,0.37,0.535,0.6086956521739131,0.41,5.911075130984641,0.81,38.0,0.014100000000000001,0.25,0.235,0.305,0.21
54,5.065,0.43999999999999995,0.535,0.5022421524663677,0.39,5.741860104787714,1.11,24.0,0.015500000000000003,0.285,0.235,0.235,0.245
55,5.475,0.4,0.525,0.4979253112033195,0.36,5.688488083830171,1.21,23.0,0.014799999999999999,0.255,0.195,0.275,0.275
56,5.5,0.395,0.55,0.5576036866359447,0.36,5.650790467064137,0.96,43.0,0.015350000000000003,0.245,0.225,0.255,0.275
57,5.545,0.395,0.505,0.5601851851851852,0.36,5.629632373651309,0.95,30.0,0.014700000000000001,0.335,0.23,0.23,0.205
58,5.41,0.41000000000000003,0.49,0.5339366515837104,0.43,5.585705898921048,1.03,20.0,0.013699999999999999,0.265,0.205,0.325,0.205
59,5.97,0.35,0.53,0.5909090909090909,0.39,5.662564719136838,0.9,32.0,0.014000000000000002,0.255,0.175,0.32,0.25
60,5.06,0.43999999999999995,0.54,0.5863874345549738,0.43,5.542051775309472,0.79,22.0,0.014099999999999998,0.275,0.205,0.24,0.28
61,5.2,0.43000000000000005,0.5,0.6096256684491979,0.44,5.473641420247577,0.73,21.0,0.013400000000000002,0.29,0.24,0.255,0.215
62,5.87,0.36,0.53,0.6305418719211823,0.39,5.552913136198061,0.75,15.0,0.01415,0.28,0.24,0.285,0.195
63,5.76,0.38,0.44,0.6231155778894473,0.38,5.59433050895845,0.75,18.0,0.014249999999999999,0.265,0.2,0.305,0.23
64,5.945,0.355,0.505,0.5633187772925764,0.37,5.6644644071667605,1.0,19.0,0.0137,0.295,0.215,0.27,0.22
65,6.76,0.27,0.54,0.5934959349593496,0.35,5.883571525733407,1.0,12.0,0.01375,0.29,0.22,0.285,0.205
66,5.72,0.37,0.58,0.6,0.39,5.850857220586727,0.84,25.0,0.014,0.225,0.275,0.275,0.225
