step,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,4.64,0.49,0.46,0.6891891891891891,0.51,6.128000000000001,0.46,0.0,0.01345,0.2,0.355,0.195,0.25
1,5.77,0.375,0.48,0.6218905472636815,0.42,6.0564,0.76,0.0,0.01415,0.265,0.245,0.295,0.195
2,5.645,0.38,0.555,0.5740740740740741,0.44,5.97412,0.92,17.0,0.014350000000000003,0.22,0.225,0.275,0.28
3,5.83,0.36,0.57,0.5844748858447488,0.37,5.945296000000001,0.91,24.0,0.01395,0.225,0.285,0.255,0.235
4,5.815,0.37,0.485,0.5753424657534246,0.4,5.919236800000001,0.93,19.0,0.0131,0.29,0.235,0.255,0.22
5,6.135,0.33499999999999996,0.515,0.5635593220338984,0.32,5.962389440000001,1.03,18.0,0.013900000000000003,0.305,0.28,0.215,0.2
6,5.795,0.36,0.605,0.5871559633027523,0.38,5.928911552000001,0.9,22.0,0.015399999999999999,0.185,0.28,0.28,0.255
7,5.24,0.42500000000000004,0.51,0.5778894472361809,0.4,5.791129241600001,0.84,27.0,0.0139,0.23,0.285,0.25,0.235
8,5.575,0.39,0.525,0.583732057416268,0.36,5.7479033932800006,0.87,23.0,0.015249999999999998,0.235,0.28,0.225,0.26
9,6.2,0.32499999999999996,0.55,0.5895196506550219,0.37,5.838322714624001,0.94,23.0,0.015050000000000001,0.205,0.29,0.275,0.23
10,5.565,0.395,0.485,0.5525114155251142,0.41,5.783658171699201,0.98,20.0,0.015199999999999998,0.275,0.26,0.27,0.195
11,6.12,0.32999999999999996,0.58,0.6203703703703703,0.36,5.85092653735936,0.82,30.0,0.014649999999999998,0.24,0.255,0.245,0.26
12,5.715,0.375,0.535,0.589622641509434,0.42,5.8237412298874895,0.87,22.0,0.014249999999999999,0.235,0.225,0.295,0.245
13,6.23,0.31999999999999995,0.57,0.5738396624472574,0.33,5.904992983909991,1.01,19.0,0.014249999999999999,0.22,0.255,0.285,0.24
14,6.225,0.31999999999999995,0.575,0.5836909871244635,0.35,5.968994387127993,0.97,27.0,0.013700000000000002,0.245,0.255,0.305,0.195
15,6.105,0.33499999999999996,0.545,0.5833333333333334,0.37,5.996195509702395,0.95,25.0,0.014150000000000001,0.31,0.245,0.26,0.185
16,6.355,0.31499999999999995,0.495,0.5930735930735931,0.32,6.067956407761917,0.94,18.0,0.014499999999999999,0.225,0.23,0.3,0.245
17,5.78,0.365,0.57,0.5852534562211982,0.42,6.010365126209533,0.9,28.0,0.0139,0.235,0.24,0.27,0.255
18,5.88,0.36,0.52,0.5663716814159292,0.38,5.984292100967626,0.98,17.0,0.014449999999999998,0.27,0.255,0.205,0.27
19,5.805,0.37,0.495,0.586046511627907,0.35,5.948433680774101,0.89,25.0,0.01455,0.255,0.235,0.265,0.245
20,4.96,0.44999999999999996,0.54,0.5612244897959183,0.39,5.750746944619282,0.86,27.0,0.014650000000000002,0.27,0.23,0.245,0.255
21,5.17,0.43000000000000005,0.53,0.5428571428571428,0.42,5.634597555695425,0.96,17.0,0.014500000000000002,0.29,0.255,0.255,0.2
22,6.16,0.32999999999999996,0.54,0.5903083700440529,0.36,5.73967804455634,0.93,24.0,0.015200000000000002,0.225,0.245,0.28,0.25
23,5.3,0.42000000000000004,0.5,0.5686274509803921,0.37,5.6517424356450725,0.88,36.0,0.01455,0.255,0.265,0.27,0.21
24,5.92,0.35,0.58,0.6046511627906976,0.41,5.7053939485160585,0.85,22.0,0.0138,0.235,0.235,0.285,0.245
25,6.32,0.32499999999999996,0.43,0.6221198156682027,0.35,5.828315158812846,0.82,22.0,0.013450000000000002,0.255,0.255,0.25,0.24
26,5.855,0.355,0.595,0.5608695652173913,0.42,5.833652127050279,1.01,12.0,0.0151,0.23,0.26,0.245,0.265
27,6.05,0.33499999999999996,0.6,0.6045454545454545,0.35,5.876921701640223,0.87,24.0,0.01345,0.23,0.24,0.225,0.305
28,6.29,0.31999999999999995,0.51,0.6355140186915887,0.37,5.9595373613121785,0.78,21.0,0.0141,0.28,0.255,0.215,0.25
29,5.735,0.375,0.515,0.6218905472636815,0.41,5.914629889049743,0.76,22.0,0.01405,0.285,0.245,0.21,0.26
30,5.68,0.38,0.52,0.5636363636363636,0.38,5.8677039112397935,0.96,16.0,0.014150000000000001,0.23,0.225,0.255,0.29
31,6.235,0.32499999999999996,0.515,0.5818965517241379,0.36,5.941163128991836,0.97,18.0,0.014199999999999997,0.28,0.225,0.245,0.25
32,5.815,0.36,0.585,0.5871559633027523,0.36,5.9159305031934695,0.9,29.0,0.014900000000000002,0.265,0.24,0.27,0.225
33,5.65,0.38,0.55,0.6048780487804878,0.41,5.8627444025547755,0.81,24.0,0.0146,0.215,0.225,0.3,0.26
34,6.67,0.28,0.53,0.5975103734439834,0.28,6.02419552204382,0.97,15.0,0.014000000000000002,0.3,0.175,0.24,0.285
35,5.91,0.355,0.54,0.6231884057971014,0.32,6.001356417635057,0.78,25.0,0.013900000000000003,0.22,0.285,0.275,0.22
36,5.14,0.43500000000000005,0.51,0.5854922279792746,0.47,5.829085134108045,0.8,18.0,0.0145,0.185,0.21,0.345,0.26
37,5.595,0.39,0.505,0.6069651741293532,0.4,5.782268107286436,0.79,20.0,0.0143,0.265,0.23,0.28,0.225
38,5.665,0.375,0.585,0.5813953488372093,0.43,5.758814485829148,0.9,18.0,0.01385,0.25,0.24,0.24,0.27
39,5.255,0.42000000000000004,0.545,0.5296803652968036,0.4,5.658051588663319,1.03,16.0,0.014249999999999999,0.26,0.205,0.265,0.27
40,5.995,0.35,0.505,0.5508474576271186,0.39,5.725441270930656,1.06,27.0,0.0143,0.25,0.22,0.285,0.245
41,6.255,0.31999999999999995,0.545,0.5291828793774319,0.31,5.831353016744526,1.21,28.0,0.01385,0.27,0.205,0.25,0.275
42,5.975,0.35,0.525,0.5179282868525896,0.36,5.860082413395619,1.21,25.0,0.015249999999999998,0.33,0.18,0.3,0.19
43,5.925,0.35,0.575,0.5508474576271186,0.36,5.873065930716495,1.06,34.0,0.015250000000000001,0.225,0.175,0.32,0.28
44,5.805,0.365,0.545,0.5570175438596491,0.31,5.859452744573198,1.01,31.0,0.0148,0.3,0.215,0.28,0.205
45,6.5,0.30500000000000005,0.45,0.5537848605577689,0.32,5.987562195658558,1.12,23.0,0.014450000000000001,0.265,0.275,0.24,0.22
46,5.86,0.36,0.54,0.5267489711934157,0.33,5.962049756526847,1.15,23.0,0.015000000000000001,0.26,0.195,0.285,0.26
47,5.565,0.395,0.485,0.5525114155251142,0.38,5.882639805221476,0.98,44.0,0.014150000000000001,0.26,0.205,0.265,0.27
